Date,Ticker,Open,High,Low,Close,Volume
2023-09-12,TKO,102.0,103.98,100.0,103.05,617793.0
2023-09-13,TKO,104.5,104.5,100.0,101.0,1733567.0
2023-09-14,TKO,101.06,102.98,100.08,100.76,1160691.0
2023-09-15,TKO,101.28,102.3,98.65,100.11,2453515.0
2023-09-18,TKO,100.51,104.46,100.5,104.13,1226948.0
2023-09-19,TKO,103.96,106.16,102.98,105.5,1280008.0
2023-09-20,TKO,105.71,105.94,104.24,104.73,812525.0
2023-09-21,TKO,96.16,96.16,84.83,85.97,5660193.0
2023-09-22,TKO,86.43,86.94,83.08,83.79,1932891.0
2023-09-25,TKO,83.43,83.87,81.75,82.17,1315499.0
2023-09-26,TKO,81.49,82.05,80.43,81.06,1325208.0
2023-09-27,TKO,81.33,82.06,80.535,80.82,1254620.0
2023-09-28,TKO,80.71,82.5275,80.43,82.47,1091572.0
2023-09-29,TKO,82.53,84.95,82.33,84.06,1225368.0
2023-10-02,TKO,84.35,85.27,82.8701,85.0,1166736.0
2023-10-03,TKO,84.5,85.58,84.1,84.49,1025517.0
2023-10-04,TKO,84.23,84.23,82.0401,83.43,977278.0
2023-10-05,TKO,83.37,85.1,82.02,82.17,661801.0
2023-10-06,TKO,81.99,82.71,80.95,81.99,570515.0
2023-10-09,TKO,81.42,83.504,81.42,82.92,464118.0
2023-10-10,TKO,82.96,83.25,82.02,82.06,445263.0
2023-10-11,TKO,81.99,81.99,79.13,80.23,1813012.0
2023-10-12,TKO,80.09,80.78,79.41,79.93,855336.0
2023-10-13,TKO,80.72,80.74,77.61,77.63,1330345.0
2023-10-16,TKO,78.23,80.75,78.23,80.3,1014110.0
2023-10-17,TKO,79.6,80.91,79.34,79.87,1122222.0
2023-10-18,TKO,79.0,80.05,76.82,76.87,573086.0
2023-10-19,TKO,76.74,78.0,76.31,76.57,1474445.0
2023-10-20,TKO,76.6,78.04,76.31,77.97,702021.0
2023-10-23,TKO,77.2,79.73,77.07,78.84,715307.0
2023-10-24,TKO,79.77,80.53,78.47,80.5,1121440.0
2023-10-25,TKO,78.73,80.15,78.01,78.64,471426.0
2023-10-26,TKO,79.17,82.5,78.62,81.11,1454251.0
2023-10-27,TKO,82.54,85.4,81.31,81.97,912065.0
2023-10-30,TKO,82.42,83.51,81.55,82.91,548318.0
2023-10-31,TKO,82.82,83.17,81.5,81.98,652372.0
2023-11-01,TKO,82.04,83.0,81.42,82.39,642633.0
2023-11-02,TKO,83.11,84.29,82.335,83.46,484000.0
2023-11-03,TKO,84.98,85.45,83.93,84.93,641803.0
2023-11-06,TKO,85.61,85.61,84.03,84.61,955879.0
2023-11-07,TKO,84.41,86.55,84.06,85.66,958957.0
2023-11-08,TKO,86.675,87.67,84.27,84.6,1182474.0
2023-11-09,TKO,85.55,86.1,84.63,84.9,938140.0
2023-11-10,TKO,77.24,79.78,77.0,79.26,7239153.0
2023-11-13,TKO,78.78,80.35,78.38,79.97,4245022.0
2023-11-14,TKO,81.0,81.0,79.04,79.9,1848129.0
2023-11-15,TKO,79.3,79.39,76.26,78.05,2742535.0
2023-11-16,TKO,78.04,78.52,77.55,78.12,1360836.0
2023-11-17,TKO,78.29,78.6,77.103,78.32,877672.0
2023-11-20,TKO,78.35,78.98,76.5,77.86,1366898.0
2023-11-21,TKO,77.87,78.5406,77.5,78.31,1059607.0
2023-11-22,TKO,78.19,79.54,77.89,78.46,912128.0
2023-11-24,TKO,78.1,79.25,77.5001,78.5,409111.0
2023-11-27,TKO,78.27,79.26,78.0792,79.23,2219945.0
2023-11-28,TKO,79.23,79.23,77.59,78.18,923244.0
2023-11-29,TKO,78.0,78.56,76.62,77.68,1064492.0
2023-11-30,TKO,77.41,77.89,76.265,77.33,1397970.0
2023-12-01,TKO,77.06,78.25,76.385,78.24,769476.0
2023-12-04,TKO,78.23,78.23,75.44,75.5,1217068.0
2023-12-05,TKO,75.35,75.355,73.43,73.95,1962989.0
2023-12-06,TKO,74.22,74.76,73.155,73.17,1100488.0
2023-12-07,TKO,73.43,73.62,72.34,72.8,1075833.0
2023-12-08,TKO,72.46,73.98,72.335,73.77,1035208.0
2023-12-11,TKO,73.77,74.1,72.87,73.3,1104314.0
2023-12-12,TKO,73.46,74.73,72.625,73.82,1023067.0
2023-12-13,TKO,73.72,73.83,72.3416,73.63,1328008.0
2023-12-14,TKO,74.59,75.3,74.25,75.13,1800332.0
2023-12-15,TKO,75.01,76.17,74.56,75.99,2639285.0
2023-12-18,TKO,76.3,77.6,75.63,76.69,1152375.0
2023-12-19,TKO,75.8,79.44,75.78,79.03,2130346.0
2023-12-20,TKO,78.7,79.78,77.64,77.66,961460.0
2023-12-21,TKO,77.95,79.22,77.49,79.02,701090.0
2023-12-22,TKO,79.58,79.79,78.51,78.84,656419.0
2023-12-26,TKO,78.76,80.02,78.6,79.72,1361081.0
2023-12-27,TKO,79.9,81.0,79.9,80.99,735349.0
2023-12-28,TKO,81.03,81.85,80.79,81.44,1016419.0
2023-12-29,TKO,81.18,81.83,80.09,81.58,927775.0
2024-01-02,TKO,81.02,81.5,79.86,80.34,768383.0
2024-01-03,TKO,79.93,80.27,78.94,79.38,1019770.0
2024-01-04,TKO,79.77,80.0,78.55,78.87,738391.0
2024-01-05,TKO,78.7,79.34,78.08,78.63,1070493.0
2024-01-08,TKO,79.05,80.25,78.46,80.08,1249933.0
2024-01-09,TKO,80.04,80.515,79.47,80.25,650130.0
2024-01-10,TKO,80.42,80.76,79.86,80.52,563479.0
2024-01-11,TKO,80.8,81.785,80.0,81.6,831742.0
2024-01-12,TKO,81.5,81.62,76.94,77.12,1687385.0
2024-01-16,TKO,77.09,77.66,75.96,76.93,1385977.0
2024-01-17,TKO,76.28,77.44,76.22,76.32,663285.0
2024-01-18,TKO,77.12,77.16,75.345,75.84,947475.0
2024-01-19,TKO,76.2,78.08,76.04,77.55,1056889.0
2024-01-22,TKO,77.96,79.135,77.4,77.41,878503.0
2024-01-23,TKO,95.44,95.92,86.75,89.63,11818029.0
2024-01-24,TKO,89.57,90.26,87.22,87.91,2702547.0
2024-01-25,TKO,88.47,89.5,86.79,87.51,1833365.0
2024-01-26,TKO,87.76,87.77,85.76,86.54,1341818.0
2024-01-29,TKO,85.0,85.34,82.455,82.73,2950832.0
2024-01-30,TKO,82.4,85.97,82.4,85.0,1938335.0
2024-01-31,TKO,85.24,85.5,83.43,83.69,970674.0
2024-02-01,TKO,84.47,85.79,83.79,85.56,989416.0
2024-02-02,TKO,85.97,85.97,83.7017,85.09,855678.0
2024-02-05,TKO,84.86,85.89,84.285,85.55,1003151.0
2024-02-06,TKO,86.93,87.84,86.0,87.17,1183754.0
2024-02-07,TKO,86.46,88.02,85.83,87.3,1291000.0
2024-02-08,TKO,87.62,87.6425,85.44,85.93,933739.0
2024-02-09,TKO,86.01,86.52,85.73,86.13,850685.0
2024-02-12,TKO,87.69,87.83,86.71,87.08,694981.0
2024-02-13,TKO,86.65,88.32,86.015,87.5,1460240.0
2024-02-14,TKO,87.1,87.9,86.2,87.56,851520.0
2024-02-15,TKO,87.82,88.575,86.61,87.0,1501755.0
2024-02-16,TKO,86.63,87.02,85.63,85.63,1023510.0
2024-02-20,TKO,85.71,86.95,85.5,85.76,921893.0
