Date,Ticker,Open,High,Low,Close,Volume
2024-03-20,ALAB,52.56,63.5,50.61,62.03,16843327.0
2024-03-21,ALAB,66.0,80.0,63.45,64.15,11454349.0
2024-03-22,ALAB,65.5,72.0,65.21,70.0,4387368.0
2024-03-25,ALAB,73.39,86.95,70.0,85.0,7353881.0
2024-03-26,ALAB,88.9,95.21,77.5,83.38,10591536.0
2024-03-27,ALAB,81.21,82.0,75.0,79.92,3574729.0
2024-03-28,ALAB,79.57,81.58,73.35,74.19,2388108.0
2024-04-01,ALAB,72.62,73.4,66.76,71.12,4316939.0
2024-04-02,ALAB,69.7,74.6279,68.0,72.21,2024116.0
2024-04-03,ALAB,72.06,74.72,69.01,69.28,1700572.0
2024-04-04,ALAB,69.71,73.2,67.75,69.77,1695470.0
2024-04-05,ALAB,69.04,75.0,67.6262,71.34,1475301.0
2024-04-08,ALAB,73.0,74.4999,69.1624,69.92,1250131.0
2024-04-09,ALAB,69.92,70.9899,66.0,68.37,1146855.0
2024-04-10,ALAB,66.32,71.67,65.89,71.31,1520923.0
2024-04-11,ALAB,71.46,77.5,70.76,75.59,2467544.0
2024-04-12,ALAB,74.65,75.3599,70.5303,72.73,1197222.0
2024-04-15,ALAB,74.83,79.47,70.89,71.3,2510839.0
2024-04-16,ALAB,71.9,75.75,69.2001,74.52,1493774.0
2024-04-17,ALAB,75.0,75.54,71.1598,73.21,1399631.0
2024-04-18,ALAB,72.99,72.99,68.55,70.92,1393330.0
2024-04-19,ALAB,69.08,69.7,60.21,64.49,4005508.0
2024-04-22,ALAB,65.0,68.73,64.562,65.79,1330346.0
2024-04-23,ALAB,67.55,73.52,66.81,71.72,1514813.0
2024-04-24,ALAB,73.2,75.5,69.13,70.99,1470674.0
2024-04-25,ALAB,68.42,73.1938,67.29,71.59,1281248.0
2024-04-26,ALAB,70.97,85.27,70.2,85.0,3013699.0
2024-04-29,ALAB,81.28,88.59,80.24,85.7,3601211.0
2024-04-30,ALAB,83.97,87.2,81.68,84.76,1983931.0
2024-05-01,ALAB,80.52,80.62,74.43,74.83,3959123.0
2024-05-02,ALAB,76.91,79.58,71.68,79.06,2647417.0
2024-05-03,ALAB,81.07,81.25,76.51,76.96,2138404.0
2024-05-06,ALAB,77.3,81.04,76.705,78.11,1935766.0
2024-05-07,ALAB,75.86,78.94,75.01,76.19,2391900.0
2024-05-08,ALAB,71.06,74.2,66.1,69.26,5411724.0
2024-05-09,ALAB,72.02,72.15,68.01,70.06,3297449.0
2024-05-10,ALAB,71.14,74.19,68.89,70.08,1828618.0
2024-05-13,ALAB,71.18,74.035,69.92,70.26,1929976.0
2024-05-14,ALAB,71.0,72.88,68.81,72.32,1611246.0
2024-05-15,ALAB,73.8,77.42,71.4584,77.42,2755346.0
2024-05-16,ALAB,77.52,77.57,72.15,73.0,2174882.0
2024-05-17,ALAB,73.63,74.46,70.92,72.5,1204166.0
2024-05-20,ALAB,71.11,73.13,70.15,72.51,1332300.0
2024-05-21,ALAB,72.3,75.38,71.71,73.34,1101322.0
2024-05-22,ALAB,74.0,75.14,72.75,73.14,1222849.0
2024-05-23,ALAB,76.0,76.65,69.5,70.07,2212113.0
2024-05-24,ALAB,71.1,72.816,70.68,71.99,857851.0
2024-05-28,ALAB,72.83,72.83,68.14,68.89,2244178.0
2024-05-29,ALAB,67.99,68.88,66.415,67.45,1350589.0
2024-05-30,ALAB,67.35,67.39,61.58,65.44,2737977.0
2024-05-31,ALAB,66.0,66.01,61.72,64.54,1516036.0
2024-06-03,ALAB,65.13,66.48,62.4032,63.62,1621876.0
2024-06-04,ALAB,63.16,63.47,60.73,61.21,1794441.0
2024-06-05,ALAB,62.04,63.59,60.03,62.21,1964104.0
2024-06-06,ALAB,62.5,64.27,60.7909,63.01,1426130.0
2024-06-07,ALAB,62.09,64.04,61.27,61.94,1147796.0
2024-06-10,ALAB,62.11,67.22,62.0,66.7,1918337.0
