Date,Ticker,Open,High,Low,Close,Volume
2024-02-01,TRUG,2.15,2.1999,1.16,1.33,998458.0
2024-02-02,TRUG,1.61,1.79,1.37,1.64,4842808.0
2024-02-05,TRUG,1.47,1.73,1.25,1.54,993452.0
2024-02-06,TRUG,1.47,1.7,1.3714,1.55,416552.0
2024-02-07,TRUG,1.55,2.0,1.55,1.84,551408.0
2024-02-08,TRUG,1.68,1.69,1.4,1.62,246901.0
2024-02-09,TRUG,1.77,1.77,1.4,1.6,174160.0
2024-02-12,TRUG,1.55,2.05,1.45,1.94,837578.0
2024-02-13,TRUG,1.85,1.953,1.65,1.75,275707.0
2024-02-14,TRUG,1.65,1.763,1.51,1.64,94602.0
2024-02-15,TRUG,1.6295,1.8399,1.6007,1.76,93182.0
2024-02-16,TRUG,1.75,1.75,1.635,1.69,49421.0
2024-02-20,TRUG,1.65,1.705,1.58,1.6,112667.0
2024-02-21,TRUG,1.62,1.7,1.52,1.59,49278.0
2024-02-22,TRUG,1.66,1.66,1.5,1.5199,74572.0
2024-02-23,TRUG,1.56,1.5951,1.35,1.41,44132.0
2024-02-26,TRUG,1.42,1.4201,1.31,1.33,44914.0
2024-02-27,TRUG,1.39,1.39,1.1801,1.37,89630.0
2024-02-28,TRUG,1.34,1.35,1.23,1.245,22647.0
2024-02-29,TRUG,1.248,1.39,1.235,1.315,118762.0
2024-03-01,TRUG,1.265,1.35,1.231,1.3,69365.0
2024-03-04,TRUG,1.3,1.3,1.12,1.2,25889.0
2024-03-05,TRUG,1.2,1.23,1.11,1.18,41169.0
2024-03-06,TRUG,1.19,1.3,1.18,1.29,100375.0
2024-03-07,TRUG,1.25,1.31,1.22,1.29,39660.0
2024-03-08,TRUG,1.28,1.4999,1.28,1.44,74022.0
2024-03-11,TRUG,1.44,1.54,1.4001,1.45,53961.0
2024-03-12,TRUG,1.49,1.49,1.41,1.468,23042.0
2024-03-13,TRUG,1.45,1.54,1.4323,1.44,48121.0
2024-03-14,TRUG,1.4658,1.55,1.42,1.43,85707.0
2024-03-15,TRUG,1.45,1.4993,1.32,1.32,135504.0
2024-03-18,TRUG,1.31,1.36,1.16,1.16,86327.0
2024-03-19,TRUG,1.225,1.29,1.15,1.15,71593.0
2024-03-20,TRUG,2.0,2.27,1.56,1.89,59473897.0
2024-03-21,TRUG,1.89,1.96,1.6,1.61,1832145.0
2024-03-22,TRUG,1.5,1.7,1.5,1.6,448615.0
2024-03-25,TRUG,1.68,1.7,1.33,1.4,417012.0
2024-03-26,TRUG,1.37,1.44,1.3201,1.4,122869.0
2024-03-27,TRUG,1.43,1.44,1.32,1.37,170301.0
2024-03-28,TRUG,1.38,1.4,1.2,1.28,323846.0
2024-04-01,TRUG,1.26,1.31,1.1829,1.21,70767.0
2024-04-02,TRUG,1.21,1.3,1.2001,1.27,75146.0
2024-04-03,TRUG,1.3,1.35,1.2301,1.32,160304.0
2024-04-04,TRUG,1.29,1.45,1.2115,1.36,57219.0
2024-04-05,TRUG,1.37,1.41,1.33,1.4,44022.0
2024-04-08,TRUG,1.48,1.51,1.33,1.39,70704.0
2024-04-09,TRUG,1.39,1.86,1.3522,1.81,502776.0
2024-04-10,TRUG,1.76,1.8099,1.55,1.63,133530.0
2024-04-11,TRUG,1.55,1.6716,1.55,1.65,51188.0
2024-04-12,TRUG,1.63,1.7882,1.63,1.75,56600.0
2024-04-15,TRUG,1.75,1.78,1.6,1.75,57339.0
2024-04-16,TRUG,1.75,1.7555,1.63,1.65,27202.0
2024-04-17,TRUG,1.61,1.69,1.57,1.6728,10936.0
2024-04-18,TRUG,1.63,1.75,1.48,1.75,38037.0
2024-04-19,TRUG,1.64,1.75,1.605,1.73,61016.0
2024-04-22,TRUG,1.74,1.74,1.6139,1.64,6778.0
2024-04-23,TRUG,1.61,1.75,1.5874,1.69,12843.0
2024-04-24,TRUG,1.63,1.74,1.62,1.7,8007.0
2024-04-25,TRUG,1.62,1.7372,1.5201,1.68,9245.0
2024-04-26,TRUG,1.66,1.72,1.5601,1.63,10218.0
2024-04-29,TRUG,1.68,1.75,1.63,1.64,19972.0
