Date,Ticker,Open,High,Low,Close,Volume
2023-12-28,FLYX,10.78,10.78,3.71,6.85,648021
2023-12-29,FLYX,5.82,6.7,5.0,5.5,122511
2024-01-02,FLYX,6.05,6.2,5.5,6.01,72361
2024-01-03,FLYX,5.77,6.2,5.6,5.75,45717
2024-01-04,FLYX,5.9,6.47,5.75,6.47,37610
2024-01-05,FLYX,6.7,7.25,6.41,6.75,52301
2024-01-08,FLYX,6.86,7.11,6.26,6.44,32983
2024-01-09,FLYX,6.28,6.75,6.0,6.5,27615
2024-01-10,FLYX,6.9,6.9,6.54,6.66,6445
2024-01-11,FLYX,6.59,6.85,6.25,6.35,23836
2024-01-12,FLYX,6.39,6.775,5.65,6.57,46617
2024-01-16,FLYX,6.89,6.89,6.27,6.65,22227
2024-01-17,FLYX,6.62,6.635,6.17,6.635,8709
2024-01-18,FLYX,6.87,6.87,6.25,6.62,25798
2024-01-19,FLYX,6.7,6.8,6.4,6.53,23091
2024-01-22,FLYX,6.71,6.71,6.295,6.485,9699
2024-01-23,FLYX,6.77,6.77,6.5,6.57,2696
2024-01-24,FLYX,6.63,6.66,6.51,6.65,3287
2024-01-25,FLYX,6.79,6.79,6.5,6.6255,10339
2024-01-26,FLYX,6.79,6.87,6.34,6.387,39260
2024-01-29,FLYX,6.8,6.8,6.35,6.5997,8529
2024-01-30,FLYX,6.68,6.68,6.19,6.53,21351
2024-01-31,FLYX,6.61,6.61,6.4698,6.53,1509
2024-02-01,FLYX,6.49,7.25,6.45,6.97,25260
2024-02-02,FLYX,6.97,9.66,6.58,9.01,18640
2024-02-05,FLYX,8.93,8.99,7.5634,8.77,40728
2024-02-06,FLYX,7.89,8.7012,7.89,8.52,9100
2024-02-07,FLYX,8.9,8.9,8.12,8.64,4127
2024-02-08,FLYX,8.1,8.83,8.0,8.0,3984
2024-02-09,FLYX,8.0,8.0,6.72,6.72,25182
2024-02-12,FLYX,7.39,7.4,6.9,6.9,2110
2024-02-13,FLYX,6.79,7.75,6.7,7.395,3459
2024-02-14,FLYX,7.41,7.6,7.39,7.6,2425
2024-02-15,FLYX,7.3,8.365,7.3,7.77,8529
2024-02-16,FLYX,8.12,8.29,8.12,8.29,4089
2024-02-20,FLYX,8.8,8.8,8.0,8.46,4772
2024-02-21,FLYX,8.61,9.05,8.165,9.05,20330
2024-02-22,FLYX,8.7,9.99,8.47,9.31,15057
2024-02-23,FLYX,9.1361,12.8535,9.1361,10.3,58970
2024-02-26,FLYX,11.33,12.9113,9.4201,12.0,18713
2024-02-27,FLYX,11.98,13.2,11.54,13.2,15137
2024-02-28,FLYX,11.74,14.3,11.74,14.15,21116
2024-02-29,FLYX,13.1,15.0,12.64,13.9,25043
2024-03-01,FLYX,13.2,14.4999,13.2,14.14,16629
2024-03-04,FLYX,14.85,17.28,13.61,15.49,41983
2024-03-05,FLYX,15.96,19.75,14.36,18.24,52678
2024-03-06,FLYX,18.33,20.3,17.5031,18.6,68513
2024-03-07,FLYX,22.01,24.21,16.51,18.3,43039
2024-03-08,FLYX,18.18,20.7,17.8082,18.5,13538
2024-03-11,FLYX,18.85,22.8558,18.84,19.65,45400
2024-03-12,FLYX,19.52,21.16,16.5,17.06,47300
2024-03-13,FLYX,18.0,18.4023,16.11,17.21,18672
2024-03-14,FLYX,16.54,18.44,16.0,18.05,30609
2024-03-15,FLYX,18.99,18.99,16.0,16.64,145950
2024-03-18,FLYX,16.41,17.31,16.26,16.7,23601
2024-03-19,FLYX,16.97,17.8243,16.11,17.01,8177
2024-03-20,FLYX,16.0,16.0,12.35,13.1,44609
2024-03-21,FLYX,13.03,14.1379,12.3,12.3,27192
2024-03-22,FLYX,12.17,12.935,8.75,9.0,60031
2024-03-25,FLYX,9.77,10.46,6.155,6.67,325996
2024-03-26,FLYX,6.61,6.65,4.0,4.41,435492
2024-03-27,FLYX,3.7,5.5,3.39,4.55,583993
2024-03-28,FLYX,4.7,4.7,4.2,4.32,166928
2024-04-01,FLYX,4.39,4.55,4.0,4.47,91577
2024-04-02,FLYX,4.58,4.6999,4.25,4.56,102476
2024-04-03,FLYX,4.62,4.62,4.095,4.2,49068
2024-04-04,FLYX,4.31,4.35,4.01,4.16,21361
2024-04-05,FLYX,4.06,4.4,3.92,4.4,35878
2024-04-08,FLYX,4.44,4.73,4.2,4.58,74197
2024-04-09,FLYX,4.57,4.71,4.44,4.61,45450
2024-04-10,FLYX,4.71,4.75,4.53,4.74,27095
2024-04-11,FLYX,4.74,4.82,4.65,4.67,31374
2024-04-12,FLYX,4.7,4.85,4.61,4.69,29029
2024-04-15,FLYX,4.68,4.755,4.43,4.75,35852
2024-04-16,FLYX,4.56,4.8,4.56,4.79,41926
2024-04-17,FLYX,4.59,4.7,4.58,4.7,12535
2024-04-18,FLYX,4.66,4.84,4.5217,4.8,12539
2024-04-19,FLYX,4.8,4.8,4.5801,4.63,29144
2024-04-22,FLYX,4.63,4.75,4.53,4.64,21976
2024-04-23,FLYX,4.66,4.84,4.5604,4.68,10871
2024-04-24,FLYX,4.66,4.76,4.5,4.5,15260
2024-04-25,FLYX,4.59,4.59,4.09,4.11,33975
2024-04-26,FLYX,4.33,4.49,4.11,4.3,25017
2024-04-29,FLYX,4.28,4.465,3.88,4.45,32380
2024-04-30,FLYX,4.32,4.59,4.14,4.22,28394
2024-05-01,FLYX,4.27,4.51,4.04,4.49,24580
2024-05-02,FLYX,4.24,4.66,4.24,4.39,29611
2024-05-03,FLYX,4.42,4.6999,4.42,4.42,20739
2024-05-06,FLYX,4.43,5.19,4.38,4.58,48536
2024-05-07,FLYX,4.69,4.95,4.53,4.81,30789
2024-05-08,FLYX,4.87,5.1,4.75,4.84,13806
2024-05-09,FLYX,4.77,5.1,4.4561,5.1,51787
2024-05-10,FLYX,5.05,5.5499,5.03,5.39,41045
2024-05-13,FLYX,5.23,5.68,5.01,5.22,17713
2024-05-14,FLYX,5.24,5.75,5.2,5.75,30399
2024-05-15,FLYX,5.72,6.25,5.67,6.05,39995
2024-05-16,FLYX,5.94,7.19,5.94,6.54,111594
2024-05-17,FLYX,6.17,6.96,6.17,6.28,16274
2024-05-20,FLYX,6.29,6.775,6.2,6.56,16955
2024-05-21,FLYX,6.38,6.71,6.07,6.07,44406
2024-05-22,FLYX,6.13,6.37,5.54,5.54,15167
2024-05-23,FLYX,5.48,5.93,5.26,5.63,39120
2024-05-24,FLYX,5.631,5.8668,5.33,5.61,17686
2024-05-28,FLYX,5.65,7.83,5.65,6.92,119342
2024-05-29,FLYX,6.86,8.3898,6.68,8.16,143581
2024-05-30,FLYX,7.54,7.6811,4.44,5.24,327283
2024-05-31,FLYX,5.28,5.82,5.28,5.4,70463
2024-06-03,FLYX,5.2,6.22,5.0331,5.85,60733
2024-06-04,FLYX,5.88,6.2109,5.1601,5.23,28786
2024-06-05,FLYX,5.26,5.79,4.5001,5.16,73272
2024-06-06,FLYX,5.14,5.355,5.0,5.0,22145
2024-06-07,FLYX,5.21,5.25,4.26,4.5,23577
2024-06-10,FLYX,4.71,4.91,4.5,4.5,32408
2024-06-11,FLYX,4.7,5.1,4.25,4.3,73865
2024-06-12,FLYX,4.49,4.84,4.31,4.58,40466
2024-06-13,FLYX,4.71,4.8,4.29,4.48,14444
2024-06-14,FLYX,4.61,4.6199,4.31,4.36,21936
2024-06-17,FLYX,4.34,4.5,4.25,4.25,13081
2024-06-18,FLYX,4.43,4.47,4.2,4.4,29172
2024-06-20,FLYX,4.42,4.42,3.98,4.16,41382
2024-06-21,FLYX,4.12,4.25,4.01,4.03,15904
2024-06-24,FLYX,4.15,4.216,4.06,4.19,3092
2024-06-25,FLYX,4.06,4.1499,3.8661,4.14,18661
2024-06-26,FLYX,4.13,4.24,4.01,4.07,9062
2024-06-27,FLYX,4.11,4.97,4.11,4.77,24880
