Date,Ticker,Open,High,Low,Close,Volume
2023-01-27,LUMN,5.14,5.33,5.09,5.29,17454271.0
2023-01-30,LUMN,5.18,5.29,5.13,5.14,23590744.0
2023-01-31,LUMN,5.18,5.26,5.12,5.25,26209029.0
2023-02-01,LUMN,5.28,5.45,5.22,5.36,24278593.0
2023-02-02,LUMN,5.44,5.78,5.39,5.61,31236525.0
2023-02-03,LUMN,5.45,5.4996,5.19,5.26,43038010.0
2023-02-06,LUMN,5.21,5.2179,5.0,5.04,32957453.0
2023-02-07,LUMN,5.06,5.15,4.96,4.99,50550231.0
2023-02-08,LUMN,4.03,4.19,3.74,3.95,132390688.0
2023-02-09,LUMN,3.97,4.15,3.77,4.0,61147199.0
2023-02-10,LUMN,3.95,4.0385,3.88,3.96,34667970.0
2023-02-13,LUMN,3.92,4.08,3.855,4.06,29833018.0
2023-02-14,LUMN,4.02,4.06,3.82,3.93,33251767.0
2023-02-15,LUMN,3.91,4.03,3.87,3.91,24050817.0
2023-02-16,LUMN,3.86,3.92,3.785,3.84,26454632.0
2023-02-17,LUMN,3.83,3.97,3.82,3.93,22864694.0
2023-02-21,LUMN,3.9,3.91,3.62,3.65,31077912.0
2023-02-22,LUMN,3.66,3.75,3.63,3.7,28516482.0
2023-02-23,LUMN,3.71,3.71,3.5043,3.61,26118285.0
2023-02-24,LUMN,3.55,3.6,3.49,3.56,19455565.0
2023-02-27,LUMN,3.61,3.625,3.34,3.4,40770669.0
2023-02-28,LUMN,3.38,3.49,3.3,3.4,96522922.0
2023-03-01,LUMN,3.42,3.42,3.23,3.23,30742909.0
2023-03-02,LUMN,3.21,3.27,3.12,3.23,31295823.0
2023-03-03,LUMN,3.22,3.25,3.14,3.17,24676290.0
2023-03-06,LUMN,3.19,3.47,3.18,3.3,49719822.0
2023-03-07,LUMN,3.28,3.29,3.1,3.11,30937298.0
2023-03-08,LUMN,3.1,3.13,2.99,3.02,32658239.0
2023-03-09,LUMN,3.02,3.0478,2.8625,2.88,42294052.0
2023-03-10,LUMN,2.87,2.88,2.64,2.68,44720215.0
2023-03-13,LUMN,2.46,2.69,2.43,2.6,51806812.0
2023-03-14,LUMN,2.68,2.725,2.5202,2.6,26630569.0
2023-03-15,LUMN,2.51,2.62,2.44,2.59,32180496.0
2023-03-16,LUMN,2.57,2.57,2.41,2.49,41571287.0
2023-03-17,LUMN,2.44,2.55,2.37,2.48,316011150.0
2023-03-20,LUMN,2.45,2.55,2.385,2.49,42419690.0
2023-03-21,LUMN,2.5,2.56,2.44,2.52,36266242.0
2023-03-22,LUMN,2.55,2.635,2.47,2.48,25584194.0
2023-03-23,LUMN,2.53,2.54,2.42,2.47,20543104.0
2023-03-24,LUMN,2.45,2.4505,2.37,2.41,24633821.0
2023-03-27,LUMN,2.44,2.57,2.41,2.54,17881490.0
2023-03-28,LUMN,2.53,2.67,2.5,2.65,26168265.0
2023-03-29,LUMN,2.67,2.71,2.55,2.63,18703110.0
2023-03-30,LUMN,2.64,2.66,2.54,2.56,13564193.0
2023-03-31,LUMN,2.54,2.73,2.54,2.65,22308040.0
2023-04-03,LUMN,2.65,2.6963,2.53,2.59,26324389.0
2023-04-04,LUMN,2.6,2.6054,2.4,2.43,23038067.0
2023-04-05,LUMN,2.41,2.46,2.4,2.42,14328196.0
2023-04-06,LUMN,2.41,2.46,2.39,2.43,13810307.0
2023-04-10,LUMN,2.4,2.465,2.37,2.45,22751224.0
2023-04-11,LUMN,2.43,2.59,2.43,2.57,22897593.0
2023-04-12,LUMN,2.59,2.61,2.44,2.46,16521338.0
2023-04-13,LUMN,2.44,2.47,2.34,2.35,20354045.0
2023-04-14,LUMN,2.35,2.38,2.26,2.27,16375846.0
2023-04-17,LUMN,2.27,2.3,2.22,2.28,18107416.0
2023-04-18,LUMN,2.28,2.29,2.18,2.18,15825390.0
2023-04-19,LUMN,2.16,2.21,2.13,2.18,15154861.0
2023-04-20,LUMN,2.14,2.19,2.055,2.18,18977553.0
2023-04-21,LUMN,2.15,2.24,2.15,2.23,15928831.0
2023-04-24,LUMN,2.25,2.425,2.25,2.42,30048061.0
2023-04-25,LUMN,2.37,2.44,2.35,2.39,24095771.0
2023-04-26,LUMN,2.39,2.46,2.13,2.14,26482995.0
2023-04-27,LUMN,2.15,2.25,2.145,2.21,18986415.0
2023-04-28,LUMN,2.18,2.37,2.18,2.37,23220530.0
2023-05-01,LUMN,2.34,2.42,2.26,2.38,19066028.0
2023-05-02,LUMN,2.32,2.36,2.25,2.34,17179167.0
2023-05-03,LUMN,2.47,2.56,2.24,2.29,35854410.0
2023-05-04,LUMN,2.27,2.29,2.1,2.12,18903291.0
2023-05-05,LUMN,2.26,2.29,2.13,2.28,15815995.0
2023-05-08,LUMN,2.25,2.32,2.15,2.3,18062726.0
2023-05-09,LUMN,2.23,2.42,2.17,2.37,22492640.0
2023-05-10,LUMN,2.44,2.47,2.29,2.36,19223927.0
2023-05-11,LUMN,2.36,2.43,2.33,2.34,13283814.0
2023-05-12,LUMN,2.32,2.38,2.295,2.36,12434064.0
2023-05-15,LUMN,2.38,2.52,2.37,2.49,16709914.0
2023-05-16,LUMN,2.48,2.55,2.46,2.53,18514768.0
2023-05-17,LUMN,2.55,2.7,2.52,2.64,20346475.0
2023-05-18,LUMN,2.61,2.62,2.41,2.51,19571433.0
2023-05-19,LUMN,2.49,2.5,2.35,2.35,15058559.0
2023-05-22,LUMN,2.35,2.36,2.16,2.18,28375334.0
2023-05-23,LUMN,2.17,2.23,2.1,2.1,24180342.0
2023-05-24,LUMN,2.1,2.15,1.92,1.98,24066627.0
2023-05-25,LUMN,1.98,1.98,1.85,1.88,19133929.0
2023-05-26,LUMN,1.88,2.005,1.86,1.97,21307104.0
2023-05-30,LUMN,2.0,2.05,1.97,1.98,20679306.0
2023-05-31,LUMN,1.98,2.055,1.94,1.98,22896730.0
2023-06-01,LUMN,1.98,2.02,1.86,1.95,15567050.0
2023-06-02,LUMN,1.95,2.03,1.93,2.01,20366719.0
2023-06-05,LUMN,2.02,2.08,1.89,1.91,22190510.0
2023-06-06,LUMN,1.91,1.91,1.77,1.8,42908225.0
2023-06-07,LUMN,1.83,1.89,1.78,1.84,35718724.0
2023-06-08,LUMN,1.85,1.8699,1.77,1.78,28693022.0
2023-06-09,LUMN,1.78,1.8459,1.74,1.8,19985469.0
2023-06-12,LUMN,1.8695,1.88,1.78,1.83,19636682.0
2023-06-13,LUMN,1.87,2.22,1.84,2.13,46884792.0
2023-06-14,LUMN,2.33,2.36,2.22,2.26,34560302.0
2023-06-15,LUMN,2.23,2.31,2.18,2.25,18081321.0
2023-06-16,LUMN,2.24,2.28,2.19,2.25,36963229.0
2023-06-20,LUMN,2.24,2.25,2.1,2.11,19866016.0
2023-06-21,LUMN,2.09,2.11,1.93,1.94,23681056.0
2023-06-22,LUMN,1.91,1.91,1.78,1.85,22933973.0
2023-06-23,LUMN,1.85,1.88,1.78,1.82,133965648.0
2023-06-26,LUMN,1.82,2.025,1.81,1.99,20292850.0
2023-06-27,LUMN,1.95,2.14,1.92,2.09,18844174.0
2023-06-28,LUMN,2.09,2.19,2.0,2.18,20745025.0
2023-06-29,LUMN,2.16,2.3,2.13,2.2,17654854.0
2023-06-30,LUMN,2.21,2.32,2.1803,2.26,15955498.0
2023-07-03,LUMN,2.25,2.275,2.16,2.25,7353817.0
2023-07-05,LUMN,2.21,2.34,2.15,2.26,12775770.0
2023-07-06,LUMN,2.22,2.22,2.08,2.09,17291056.0
2023-07-07,LUMN,2.09,2.24,2.08,2.19,20129911.0
2023-07-10,LUMN,2.17,2.18,2.05,2.06,14027377.0
2023-07-11,LUMN,2.06,2.17,2.05,2.07,14291380.0
2023-07-12,LUMN,2.14,2.16,2.035,2.04,14456093.0
2023-07-13,LUMN,2.05,2.14,2.03,2.06,12943007.0
2023-07-14,LUMN,2.07,2.08,1.85,1.85,28170233.0
2023-07-17,LUMN,1.88,1.88,1.69,1.7,29969925.0
2023-07-18,LUMN,1.74,1.74,1.61,1.62,36381167.0
2023-07-19,LUMN,1.7,1.95,1.69,1.89,34903810.0
2023-07-20,LUMN,1.91,1.97,1.86,1.9,18557001.0
2023-07-21,LUMN,1.92,2.025,1.86,1.9,16951906.0
2023-07-24,LUMN,1.89,1.96,1.82,1.83,12468512.0
2023-07-25,LUMN,1.84,1.87,1.75,1.77,14338786.0
2023-07-26,LUMN,1.77,1.83,1.76,1.81,7957437.0
2023-07-27,LUMN,1.84,1.87,1.7,1.71,13899746.0
2023-07-28,LUMN,1.75,1.86,1.74,1.76,18748057.0
2023-07-31,LUMN,1.81,1.95,1.75,1.79,26021253.0
2023-08-01,LUMN,1.82,2.08,1.73,2.03,51105304.0
2023-08-02,LUMN,1.75,1.87,1.68,1.79,39992748.0
2023-08-03,LUMN,1.76,1.78,1.68,1.68,19773942.0
2023-08-04,LUMN,1.67,1.765,1.64,1.66,34070647.0
2023-08-07,LUMN,1.71,1.75,1.64,1.74,30195620.0
2023-08-08,LUMN,1.7,1.745,1.665,1.71,20832781.0
2023-08-09,LUMN,1.7,1.78,1.68,1.74,17619075.0
2023-08-10,LUMN,1.75,2.02,1.75,1.89,47410625.0
2023-08-11,LUMN,1.88,1.91,1.82,1.86,16564703.0
2023-08-14,LUMN,1.84,1.86,1.77,1.81,17572851.0
2023-08-15,LUMN,1.78,1.7952,1.69,1.69,20121281.0
2023-08-16,LUMN,1.7,1.77,1.69,1.72,14831969.0
2023-08-17,LUMN,1.74,1.77,1.7,1.72,14312067.0
2023-08-18,LUMN,1.69,1.75,1.69,1.7,11551059.0
2023-08-21,LUMN,1.71,1.72,1.62,1.63,18437468.0
2023-08-22,LUMN,1.64,1.645,1.49,1.51,21589330.0
2023-08-23,LUMN,1.52,1.55,1.4,1.52,42139462.0
2023-08-24,LUMN,1.53,1.55,1.475,1.5,10735984.0
2023-08-25,LUMN,1.5,1.58,1.5,1.55,14908312.0
2023-08-28,LUMN,1.58,1.63,1.56,1.6,10103130.0
2023-08-29,LUMN,1.59,1.65,1.56,1.57,9432224.0
2023-08-30,LUMN,1.57,1.575,1.49,1.55,12302328.0
2023-08-31,LUMN,1.56,1.63,1.54,1.59,10862886.0
2023-09-01,LUMN,1.6,1.64,1.56,1.58,7235566.0
2023-09-05,LUMN,1.57,1.57,1.45,1.5,19220999.0
2023-09-06,LUMN,1.48,1.53,1.47,1.48,11609099.0
2023-09-07,LUMN,1.46,1.48,1.42,1.42,15857064.0
2023-09-08,LUMN,1.41,1.445,1.35,1.42,12772339.0
2023-09-11,LUMN,1.43,1.46,1.36,1.37,14476114.0
2023-09-12,LUMN,1.37,1.45,1.35,1.42,8673196.0
2023-09-13,LUMN,1.41,1.435,1.36,1.4,10880908.0
2023-09-14,LUMN,1.41,1.51,1.39,1.45,13899841.0
2023-09-15,LUMN,1.45,1.59,1.4401,1.54,49894019.0
2023-09-18,LUMN,1.54,1.58,1.5,1.52,11718933.0
2023-09-19,LUMN,1.51,1.65,1.51,1.63,21780794.0
2023-09-20,LUMN,1.62,1.67,1.61,1.63,11839491.0
2023-09-21,LUMN,1.58,1.595,1.5348,1.54,12048234.0
2023-09-22,LUMN,1.51,1.58,1.5,1.51,11027972.0
2023-09-25,LUMN,1.46,1.48,1.39,1.39,14496544.0
2023-09-26,LUMN,1.38,1.4,1.3,1.3,14132269.0
2023-09-27,LUMN,1.32,1.43,1.31,1.39,24063571.0
2023-09-28,LUMN,1.39,1.43,1.3501,1.43,13138731.0
2023-09-29,LUMN,1.43,1.49,1.415,1.42,12842387.0
2023-10-02,LUMN,1.4,1.45,1.36,1.39,12641603.0
2023-10-03,LUMN,1.38,1.3999,1.29,1.31,17922510.0
2023-10-04,LUMN,1.31,1.34,1.29,1.34,11389632.0
2023-10-05,LUMN,1.29,1.36,1.29,1.35,7432857.0
2023-10-06,LUMN,1.32,1.34,1.29,1.29,12361814.0
2023-10-09,LUMN,1.29,1.32,1.27,1.31,5508753.0
2023-10-10,LUMN,1.33,1.405,1.32,1.39,14758733.0
2023-10-11,LUMN,1.39,1.43,1.32,1.33,7297478.0
2023-10-12,LUMN,1.32,1.33,1.28,1.32,7586112.0
2023-10-13,LUMN,1.32,1.35,1.3,1.32,5808347.0
2023-10-16,LUMN,1.31,1.36,1.3,1.35,6019296.0
2023-10-17,LUMN,1.34,1.43,1.33,1.42,11765649.0
2023-10-18,LUMN,1.4,1.425,1.36,1.39,7053565.0
2023-10-19,LUMN,1.39,1.44,1.365,1.39,10099959.0
2023-10-20,LUMN,1.38,1.43,1.36,1.39,9403404.0
2023-10-23,LUMN,1.36,1.4,1.3,1.3,11586206.0
2023-10-24,LUMN,1.3,1.39,1.3,1.37,7815358.0
2023-10-25,LUMN,1.35,1.385,1.34,1.34,6490811.0
2023-10-26,LUMN,1.345,1.4,1.31,1.4,9891474.0
2023-10-27,LUMN,1.37,1.39,1.32,1.33,11137656.0
2023-10-30,LUMN,1.35,1.53,1.345,1.49,18749287.0
2023-10-31,LUMN,1.45,1.56,1.4,1.46,21482660.0
2023-11-01,LUMN,1.38,1.4,0.97,0.9801,60632292.0
2023-11-02,LUMN,1.03,1.06,0.7801,1.06,120487018.0
2023-11-03,LUMN,1.04,1.17,1.03,1.12,26719029.0
2023-11-06,LUMN,1.18,1.35,1.15,1.32,39065523.0
2023-11-07,LUMN,1.28,1.44,1.26,1.3,20849796.0
2023-11-08,LUMN,1.35,1.3856,1.255,1.3,15626974.0
2023-11-09,LUMN,1.35,1.36,1.17,1.18,15149307.0
2023-11-10,LUMN,1.19,1.21,1.11,1.19,12271329.0
2023-11-13,LUMN,1.18,1.225,1.13,1.15,10620228.0
2023-11-14,LUMN,1.21,1.34,1.19,1.3,21285057.0
2023-11-15,LUMN,1.3,1.41,1.2997,1.38,14369028.0
2023-11-16,LUMN,1.33,1.38,1.28,1.38,11713091.0
2023-11-17,LUMN,1.39,1.4,1.32,1.35,8325712.0
2023-11-20,LUMN,1.33,1.4,1.31,1.38,9006198.0
2023-11-21,LUMN,1.36,1.37,1.29,1.32,8766166.0
2023-11-22,LUMN,1.33,1.38,1.28,1.29,10016658.0
2023-11-24,LUMN,1.3,1.32,1.25,1.26,4947233.0
2023-11-27,LUMN,1.26,1.3,1.21,1.23,10292955.0
2023-11-28,LUMN,1.24,1.24,1.155,1.18,15176553.0
2023-11-29,LUMN,1.18,1.36,1.18,1.35,22497458.0
2023-11-30,LUMN,1.31,1.345,1.23,1.31,15668539.0
2023-12-01,LUMN,1.3,1.5,1.24,1.48,25948445.0
2023-12-04,LUMN,1.45,1.59,1.42,1.56,17009724.0
2023-12-05,LUMN,1.55,1.58,1.51,1.55,11863087.0
2023-12-06,LUMN,1.54,1.64,1.46,1.48,14936843.0
2023-12-07,LUMN,1.47,1.51,1.41,1.44,13016906.0
2023-12-08,LUMN,1.44,1.54,1.43,1.49,8348714.0
2023-12-11,LUMN,1.49,1.55,1.35,1.37,13416505.0
2023-12-12,LUMN,1.39,1.55,1.35,1.47,17474808.0
2023-12-13,LUMN,1.46,1.61,1.42,1.58,19163865.0
2023-12-14,LUMN,1.66,1.87,1.64,1.77,34827646.0
2023-12-15,LUMN,1.75,1.81,1.6406,1.81,44308484.0
2023-12-18,LUMN,1.81,1.82,1.7,1.79,12420914.0
2023-12-19,LUMN,1.76,1.85,1.75,1.77,9963544.0
2023-12-20,LUMN,1.7,1.775,1.65,1.66,14597130.0
2023-12-21,LUMN,1.65,1.76,1.65,1.74,11549369.0
2023-12-22,LUMN,1.71,1.79,1.7,1.73,9564027.0
2023-12-26,LUMN,1.72,1.84,1.7,1.8,10606295.0
2023-12-27,LUMN,1.79,1.85,1.78,1.81,10877244.0
2023-12-28,LUMN,1.79,1.9,1.77,1.85,11014050.0
2023-12-29,LUMN,1.83,1.87,1.79,1.83,12222444.0
2024-01-02,LUMN,1.79,1.96,1.76,1.89,12804602.0
2024-01-03,LUMN,1.87,1.89,1.77,1.79,11375093.0
2024-01-04,LUMN,1.8,1.8,1.7,1.75,9648790.0
2024-01-05,LUMN,1.72,1.81,1.7,1.7,11029773.0
2024-01-08,LUMN,1.7,1.77,1.56,1.74,15279934.0
2024-01-09,LUMN,1.72,1.73,1.61,1.63,10142778.0
2024-01-10,LUMN,1.6,1.71,1.585,1.7,11902274.0
2024-01-11,LUMN,1.66,1.68,1.56,1.58,21276555.0
2024-01-12,LUMN,1.62,1.65,1.58,1.59,15444802.0
2024-01-16,LUMN,1.56,1.57,1.504,1.55,10351827.0
2024-01-17,LUMN,1.5,1.545,1.4,1.44,18356612.0
2024-01-18,LUMN,1.44,1.48,1.41,1.44,9558778.0
2024-01-19,LUMN,1.45,1.46,1.31,1.32,15383727.0
2024-01-22,LUMN,1.33,1.38,1.28,1.38,12330583.0
2024-01-23,LUMN,1.41,1.45,1.35,1.37,12195433.0
2024-01-24,LUMN,1.39,1.43,1.32,1.35,9677722.0
2024-01-25,LUMN,1.38,1.71,1.35,1.38,47667967.0
2024-01-26,LUMN,1.4,1.5699,1.4,1.4,27215781.0
2024-01-29,LUMN,1.4,1.43,1.25,1.36,26646870.0
2024-01-30,LUMN,1.34,1.38,1.29,1.3,7237241.0
2024-01-31,LUMN,1.3,1.31,1.22,1.22,22073645.0
2024-02-01,LUMN,1.25,1.3,1.22,1.28,10007774.0
2024-02-02,LUMN,1.25,1.32,1.21,1.3,13956607.0
2024-02-05,LUMN,1.29,1.34,1.26,1.29,13152403.0
2024-02-06,LUMN,1.29,1.38,1.29,1.35,20590593.0
2024-02-07,LUMN,1.52,1.52,1.4,1.45,28659106.0
2024-02-08,LUMN,1.45,1.54,1.41,1.5,14686818.0
2024-02-09,LUMN,1.49,1.55,1.4505,1.52,12144065.0
2024-02-12,LUMN,1.52,1.8,1.52,1.77,25277718.0
2024-02-13,LUMN,1.68,1.75,1.59,1.62,18136160.0
2024-02-14,LUMN,1.67,1.715,1.58,1.59,10425892.0
2024-02-15,LUMN,1.62,1.67,1.57,1.6,9194813.0
2024-02-16,LUMN,1.59,1.61,1.53,1.54,12690222.0
2024-02-20,LUMN,1.52,1.61,1.49,1.55,12076749.0
2024-02-21,LUMN,1.56,1.59,1.51,1.55,7176764.0
2024-02-22,LUMN,1.53,1.57,1.49,1.54,9428110.0
2024-02-23,LUMN,1.54,1.56,1.49,1.5,8462727.0
2024-02-26,LUMN,1.49,1.526,1.455,1.48,12289690.0
2024-02-27,LUMN,1.51,1.56,1.49,1.54,9145634.0
2024-02-28,LUMN,1.57,1.63,1.54,1.61,8192351.0
2024-02-29,LUMN,1.65,1.67,1.56,1.62,11029330.0
2024-03-01,LUMN,1.61,1.665,1.55,1.62,9022526.0
2024-03-04,LUMN,1.6,1.74,1.55,1.69,12476925.0
2024-03-05,LUMN,1.66,1.8,1.65,1.7,12148823.0
2024-03-06,LUMN,1.77,1.78,1.62,1.71,12433076.0
2024-03-07,LUMN,1.72,1.78,1.68,1.73,7764828.0
2024-03-08,LUMN,1.75,1.83,1.73,1.82,11947696.0
2024-03-11,LUMN,1.81,1.88,1.75,1.76,14143317.0
2024-03-12,LUMN,1.75,1.766,1.675,1.72,7817474.0
2024-03-13,LUMN,1.69,1.75,1.62,1.64,10233889.0
2024-03-14,LUMN,1.64,1.64,1.55,1.58,9681233.0
2024-03-15,LUMN,1.56,1.62,1.49,1.57,28536797.0
2024-03-18,LUMN,1.59,1.65,1.5349,1.61,8076109.0
2024-03-19,LUMN,1.58,1.75,1.54,1.69,15812723.0
2024-03-20,LUMN,1.69,1.79,1.66,1.77,12903187.0
2024-03-21,LUMN,1.79,1.8,1.7,1.71,13691429.0
2024-03-22,LUMN,1.72,1.8,1.61,1.61,18703158.0
2024-03-25,LUMN,1.63,1.73,1.6,1.61,12399318.0
2024-03-26,LUMN,1.61,1.68,1.55,1.55,11963124.0
2024-03-27,LUMN,1.58,1.61,1.55,1.58,10530209.0
2024-03-28,LUMN,1.58,1.62,1.54,1.56,8279025.0
2024-04-01,LUMN,1.54,1.58,1.46,1.46,11168006.0
2024-04-02,LUMN,1.45,1.46,1.37,1.41,13235564.0
2024-04-03,LUMN,1.37,1.43,1.36,1.42,7353246.0
2024-04-04,LUMN,1.42,1.44,1.33,1.34,11527691.0
2024-04-05,LUMN,1.34,1.36,1.27,1.34,10113891.0
2024-04-08,LUMN,1.37,1.41,1.35,1.37,6917042.0
2024-04-09,LUMN,1.38,1.48,1.37,1.46,10178400.0
2024-04-10,LUMN,1.4,1.4,1.35,1.38,9909232.0
2024-04-11,LUMN,1.41,1.46,1.37,1.44,7700608.0
2024-04-12,LUMN,1.42,1.42,1.37,1.38,7169051.0
2024-04-15,LUMN,1.39,1.42,1.35,1.37,8317194.0
2024-04-16,LUMN,1.37,1.39,1.32,1.33,6816108.0
2024-04-17,LUMN,1.33,1.37,1.32,1.32,7677857.0
2024-04-18,LUMN,1.32,1.36,1.29,1.32,5891618.0
2024-04-19,LUMN,1.32,1.34,1.28,1.31,7638965.0
2024-04-22,LUMN,1.3,1.39,1.3,1.36,10952377.0
2024-04-23,LUMN,1.39,1.43,1.36,1.36,8615191.0
2024-04-24,LUMN,1.37,1.38,1.28,1.29,11622745.0
2024-04-25,LUMN,1.28,1.29,1.2,1.21,12130395.0
2024-04-26,LUMN,1.23,1.26,1.21,1.21,6471784.0
2024-04-29,LUMN,1.24,1.29,1.22,1.22,6804925.0
2024-04-30,LUMN,1.23,1.25,1.15,1.19,19764254.0
2024-05-01,LUMN,1.13,1.26,1.1,1.21,16269457.0
2024-05-02,LUMN,1.23,1.3,1.19,1.29,9120085.0
2024-05-03,LUMN,1.38,1.44,1.31,1.32,13944276.0
2024-05-06,LUMN,1.33,1.365,1.29,1.32,13276972.0
2024-05-07,LUMN,1.32,1.36,1.3,1.3,9932889.0
2024-05-08,LUMN,1.29,1.31,1.27,1.28,6827877.0
2024-05-09,LUMN,1.3,1.36,1.29,1.34,8303532.0
2024-05-10,LUMN,1.34,1.36,1.295,1.31,6754759.0
2024-05-13,LUMN,1.3,1.32,1.25,1.25,11329100.0
2024-05-14,LUMN,1.27,1.37,1.265,1.33,12573908.0
2024-05-15,LUMN,1.35,1.36,1.27,1.3,8132303.0
2024-05-16,LUMN,1.29,1.32,1.27,1.31,6963591.0
2024-05-17,LUMN,1.31,1.33,1.29,1.32,5141863.0
2024-05-20,LUMN,1.31,1.335,1.29,1.3,6035392.0
2024-05-21,LUMN,1.3,1.31,1.25,1.26,7391930.0
2024-05-22,LUMN,1.26,1.3,1.23,1.29,8320636.0
2024-05-23,LUMN,1.28,1.3,1.26,1.29,7329865.0
2024-05-24,LUMN,1.28,1.32,1.26,1.27,5479577.0
2024-05-28,LUMN,1.27,1.29,1.25,1.28,7730267.0
2024-05-29,LUMN,1.27,1.3,1.25,1.29,6820392.0
2024-05-30,LUMN,1.27,1.32,1.27,1.28,7197528.0
2024-05-31,LUMN,1.28,1.3,1.26,1.29,10523889.0
2024-06-03,LUMN,1.28,1.31,1.27,1.29,7040372.0
2024-06-04,LUMN,1.29,1.29,1.25,1.26,5601498.0
2024-06-05,LUMN,1.26,1.35,1.25,1.33,8092393.0
2024-06-06,LUMN,1.31,1.33,1.29,1.31,4061229.0
2024-06-07,LUMN,1.3,1.3,1.27,1.27,4026939.0
2024-06-10,LUMN,1.27,1.27,1.22,1.22,7130837.0
2024-06-11,LUMN,1.23,1.24,1.2,1.23,8089953.0
2024-06-12,LUMN,1.25,1.29,1.23,1.23,9420215.0
2024-06-13,LUMN,1.23,1.24,1.18,1.19,7304832.0
2024-06-14,LUMN,1.18,1.18,1.12,1.13,12036115.0
2024-06-17,LUMN,1.14,1.15,1.06,1.08,23432532.0
2024-06-18,LUMN,1.09,1.09,1.03,1.07,13147394.0
2024-06-20,LUMN,1.05,1.15,1.04,1.11,8102703.0
2024-06-21,LUMN,1.16,1.16,1.05,1.07,25630352.0
2024-06-24,LUMN,1.07,1.1,1.04,1.05,6475526.0
2024-06-25,LUMN,1.05,1.06,0.9915,0.9925,9240412.0
2024-06-26,LUMN,1.01,1.04,0.985,1.0,9512241.0
2024-06-27,LUMN,1.01,1.05,0.975,1.03,6832082.0
2024-06-28,LUMN,1.03,1.11,1.02,1.1,18617085.0
