Date,Ticker,Open,High,Low,Close,Volume
2024-05-15,JDZG,4.8,5.4,3.595,4.07,2366241.0
2024-05-16,JDZG,6.0,11.52,4.3201,8.32,11825631.0
2024-05-17,JDZG,8.37,15.0799,8.3002,11.68,5757427.0
2024-05-20,JDZG,12.95,14.87,9.74,11.96,2262392.0
2024-05-21,JDZG,11.91,11.91,10.8,11.5,834684.0
2024-05-22,JDZG,11.58,11.8404,11.03,11.59,421244.0
2024-05-23,JDZG,11.7,12.5,11.25,12.07,942433.0
2024-05-24,JDZG,12.07,12.45,11.112,12.34,908687.0
2024-05-28,JDZG,12.3,12.97,12.13,12.3,400075.0
2024-05-29,JDZG,12.05,12.7,12.0,12.5,707855.0
2024-05-30,JDZG,12.55,12.65,11.76,12.5,900646.0
2024-05-31,JDZG,12.21,13.24,10.64,12.97,1479993.0
2024-06-03,JDZG,12.88,13.39,12.42,12.47,2246970.0
2024-06-04,JDZG,12.35,12.35,1.38,1.75,14662185.0
2024-06-05,JDZG,1.49,1.52,1.3,1.39,4354415.0
2024-06-06,JDZG,1.25,1.29,1.12,1.15,2273891.0
2024-06-07,JDZG,1.05,1.24,1.01,1.09,1516256.0
2024-06-10,JDZG,1.06,1.08,1.01,1.03,515491.0
2024-06-11,JDZG,1.01,1.03,0.8602,0.9004,789485.0
2024-06-12,JDZG,0.8894,1.32,0.87,1.25,5611511.0
2024-06-13,JDZG,1.23,1.27,1.03,1.08,1204451.0
2024-06-14,JDZG,1.04,1.06,0.9395,0.989,554066.0
2024-06-17,JDZG,0.989,1.02,0.91,0.91,499752.0
2024-06-18,JDZG,0.9112,0.9512,0.89,0.92,1096265.0
2024-06-20,JDZG,0.92,0.92,0.82,0.846,579453.0
2024-06-21,JDZG,0.8451,0.93,0.7603,0.8801,718722.0
2024-06-24,JDZG,0.88,0.8978,0.8506,0.88,217319.0
2024-06-25,JDZG,0.88,0.89,0.853,0.86,231982.0
2024-06-26,JDZG,0.8412,0.8698,0.82,0.8458,217593.0
2024-06-27,JDZG,0.82,0.835,0.796,0.809,223421.0
2024-06-28,JDZG,0.7847,0.83,0.7751,0.83,97911.0
2024-07-01,JDZG,0.8185,0.8406,0.7901,0.803,166202.0
2024-07-02,JDZG,0.7978,0.87,0.796,0.8495,365107.0
2024-07-03,JDZG,0.87,0.8837,0.84,0.84,171212.0
2024-07-05,JDZG,0.8148,0.84,0.78,0.7989,214476.0
2024-07-08,JDZG,0.8,0.8298,0.7809,0.7875,153906.0
2024-07-09,JDZG,0.782,0.81,0.781,0.782,109606.0
2024-07-10,JDZG,0.79,0.7952,0.7613,0.779,182116.0
2024-07-11,JDZG,0.78,0.8,0.7788,0.8,81714.0
2024-07-12,JDZG,0.7987,0.8,0.78,0.7894,137602.0
2024-07-15,JDZG,0.8,0.85,0.8,0.849,270949.0
2024-07-16,JDZG,0.83,0.8699,0.83,0.851,173470.0
2024-07-17,JDZG,0.8507,0.8507,0.81,0.8348,54746.0
2024-07-18,JDZG,0.812,0.8494,0.7901,0.819,119859.0
2024-07-19,JDZG,0.808,0.845,0.78,0.830001,73666.0
2024-07-22,JDZG,0.8305,0.85,0.791,0.800901,110137.0
2024-07-23,JDZG,0.79,0.8026,0.785,0.7851,79556.0
2024-07-24,JDZG,0.79,0.8216,0.7609,0.77,73317.0
2024-07-25,JDZG,0.7697,0.8,0.727751,0.779,104061.0
2024-07-26,JDZG,0.76,0.784,0.5724,0.6383,757613.0
2024-07-29,JDZG,0.626,0.6444,0.615,0.6312,143323.0
2024-07-30,JDZG,0.6191,0.6222,0.5633,0.58,101572.0
2024-07-31,JDZG,0.573,0.6114,0.573,0.5912,35174.0
2024-08-01,JDZG,0.61,0.6101,0.5603,0.5603,90466.0
2024-08-02,JDZG,0.575,0.575,0.5252,0.533599,142319.0
2024-08-05,JDZG,0.5,0.528057,0.4488,0.47,260270.0
2024-08-06,JDZG,0.5049,0.514501,0.4775,0.4927,83134.0
2024-08-07,JDZG,0.51,0.53,0.4822,0.4841,59709.0
2024-08-08,JDZG,0.49,0.51,0.485,0.509,94282.0
2024-08-09,JDZG,0.4519,0.6,0.4505,0.5574,200917.0
2024-08-12,JDZG,0.5365,0.57,0.515,0.5227,98970.0
2024-08-13,JDZG,0.521,0.55,0.52,0.55,434276.0
2024-08-14,JDZG,0.555,0.569,0.51,0.5101,361602.0
2024-08-15,JDZG,0.5101,0.52,0.5,0.5002,54468.0
2024-08-16,JDZG,0.500387,0.5188,0.5,0.5061,37822.0
2024-08-19,JDZG,0.5303,0.55,0.5,0.541999,150061.0
2024-08-20,JDZG,0.540666,0.61,0.51,0.58,244666.0
2024-08-21,JDZG,0.58,0.5804,0.5401,0.57,99310.0
2024-08-22,JDZG,0.55,0.6,0.55,0.572,65105.0
2024-08-23,JDZG,0.5817,0.5819,0.5531,0.577,35913.0
2024-08-26,JDZG,0.5655,0.592349,0.5346,0.546301,137181.0
2024-08-27,JDZG,0.59,0.6,0.57,0.5875,124142.0
2024-08-28,JDZG,0.59,0.59,0.53,0.5405,83034.0
2024-08-29,JDZG,0.54,0.5723,0.51,0.51,25799.0
2024-08-30,JDZG,0.5113,0.5495,0.5113,0.52,7314.0
2024-09-03,JDZG,0.53,0.5565,0.51,0.512,25278.0
2024-09-04,JDZG,0.5001,0.5202,0.5001,0.5005,35629.0
2024-09-05,JDZG,0.51525,0.5267,0.5005,0.508,33430.0
2024-09-06,JDZG,0.5201,0.539,0.49,0.5045,56173.0
2024-09-09,JDZG,0.49,0.5199,0.48,0.48,59489.0
2024-09-10,JDZG,0.48,0.485,0.47,0.4751,37792.0
2024-09-11,JDZG,0.505,0.61,0.5,0.589,1362693.0
2024-09-12,JDZG,0.6,0.75,0.55,0.73,392144.0
2024-09-13,JDZG,0.74,0.8199,0.685,0.69,259387.0
2024-09-16,JDZG,0.709,0.735,0.641951,0.6533,143652.0
2024-09-17,JDZG,0.6203,0.6753,0.6203,0.626,71080.0
2024-09-18,JDZG,0.64,0.65,0.58,0.5866,114645.0
2024-09-19,JDZG,0.59,0.6183,0.5888,0.605,220117.0
2024-09-20,JDZG,0.5868,0.61,0.5502,0.5502,136956.0
2024-09-23,JDZG,0.5502,0.57,0.5005,0.56,108772.0
2024-09-24,JDZG,0.5432,0.5495,0.523,0.54,51897.0
2024-09-25,JDZG,0.539,0.6018,0.5302,0.6002,280602.0
2024-09-26,JDZG,0.6,0.6584,0.59,0.61,117001.0
2024-09-27,JDZG,0.62,0.695,0.62,0.66,121502.0
2024-09-30,JDZG,0.6698,0.732,0.61,0.66,266133.0
2024-10-01,JDZG,0.64,0.68,0.621,0.66,52117.0
2024-10-02,JDZG,0.6238,0.68,0.62,0.66,98514.0
2024-10-03,JDZG,0.640001,0.68,0.64,0.64512,74964.0
2024-10-04,JDZG,0.6455,0.6593,0.62,0.6452,77886.0
2024-10-07,JDZG,0.65,0.68,0.64,0.68,76373.0
2024-10-08,JDZG,0.6589,0.679,0.6501,0.6502,81465.0
2024-10-09,JDZG,0.67,0.67,0.6283,0.6283,27357.0
2024-10-10,JDZG,0.6283,0.65,0.61,0.64,47550.0
2024-10-11,JDZG,0.6301,0.6508,0.62,0.6215,48923.0
2024-10-14,JDZG,0.628,0.7798,0.61,0.7501,437944.0
2024-10-15,JDZG,0.78,1.75,0.7745,1.11,24506971.0
2024-10-16,JDZG,0.89,0.9239,0.63,0.72,3095297.0
2024-10-17,JDZG,0.73,2.17,0.7,1.7,35981433.0
2024-10-18,JDZG,2.6,2.66,1.8,2.09,55591162.0
2024-10-21,JDZG,1.69,1.76,1.3901,1.54,3903258.0
2024-10-22,JDZG,1.41,1.44,1.05,1.17,2176774.0
2024-10-23,JDZG,1.18,1.67,1.1,1.49,4372516.0
2024-10-24,JDZG,1.41,1.6269,1.295,1.53,1289441.0
2024-10-25,JDZG,1.44,1.6398,1.39,1.4,805416.0
2024-10-28,JDZG,1.31,1.59,1.31,1.43,630236.0
2024-10-29,JDZG,1.45,1.48,1.27,1.3,441795.0
2024-10-30,JDZG,1.27,1.35,1.05,1.27,507666.0
2024-10-31,JDZG,1.25,1.26,1.145,1.2,145545.0
2024-11-01,JDZG,1.2294,1.2789,1.15,1.2,211656.0
2024-11-04,JDZG,1.14,1.2,0.95,0.994,439487.0
2024-11-05,JDZG,0.904,0.95,0.812,0.89,445947.0
2024-11-06,JDZG,0.8661,0.89,0.7506,0.7904,318527.0
2024-11-07,JDZG,0.8,0.929,0.7999,0.8796,228308.0
2024-11-08,JDZG,0.89,0.89,0.76,0.8248,176327.0
