Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,INSP,211.62,218.0,207.94,217.48,403866.0
2022-11-11,INSP,216.6,229.26,211.01,215.33,601800.0
2022-11-14,INSP,214.57,214.94,206.41,210.67,275690.0
2022-11-15,INSP,219.29,219.29,212.26,213.5,251921.0
2022-11-16,INSP,211.31,215.91,210.67,215.68,313645.0
2022-11-17,INSP,210.32,215.11,208.6,214.01,258445.0
2022-11-18,INSP,212.63,217.06,209.6,212.53,446628.0
2022-11-21,INSP,211.46,219.23,211.46,214.86,228020.0
2022-11-22,INSP,216.03,228.0502,210.43,225.01,380380.0
2022-11-23,INSP,225.68,230.28,223.7225,227.26,223779.0
2022-11-25,INSP,227.35,231.64,227.35,230.28,73934.0
2022-11-28,INSP,229.56,232.6699,223.37,226.12,329988.0
2022-11-29,INSP,226.71,230.95,226.26,230.03,239618.0
2022-11-30,INSP,232.65,241.69,229.97,241.57,451690.0
2022-12-01,INSP,242.01,245.48,238.97,239.68,443065.0
2022-12-02,INSP,234.14,243.99,231.9363,239.49,314515.0
2022-12-05,INSP,239.27,240.29,233.83,234.96,274648.0
2022-12-06,INSP,235.98,235.98,227.68,230.92,172715.0
2022-12-07,INSP,230.45,234.66,225.62,229.52,290846.0
2022-12-08,INSP,231.59,240.16,227.53,235.39,282918.0
2022-12-09,INSP,233.58,236.37,231.73,232.27,178950.0
2022-12-12,INSP,233.15,237.4,232.28,236.47,219211.0
2022-12-13,INSP,249.94,260.0,247.54,256.2,500901.0
2022-12-14,INSP,255.22,259.24,253.95,255.87,286963.0
2022-12-15,INSP,251.9,256.4,250.39,255.67,420577.0
2022-12-16,INSP,245.02,256.0,240.0,253.66,569223.0
2022-12-19,INSP,251.72,253.315,246.2,246.48,417036.0
2022-12-20,INSP,245.66,257.605,245.66,256.11,279393.0
2022-12-21,INSP,256.58,262.54,256.24,259.75,268688.0
2022-12-22,INSP,256.34,259.97,252.62,259.57,193913.0
2022-12-23,INSP,258.01,258.535,253.43,257.48,113516.0
2022-12-27,INSP,257.5,258.809,252.14,252.42,140495.0
2022-12-28,INSP,252.56,255.105,249.465,252.03,167481.0
2022-12-29,INSP,255.84,257.88,251.37,253.41,283053.0
2022-12-30,INSP,249.78,253.53,246.605,251.88,160059.0
2023-01-03,INSP,256.0,257.44,248.485,252.99,396498.0
2023-01-04,INSP,255.94,259.6414,249.38,251.21,232047.0
2023-01-05,INSP,251.95,251.95,242.6316,242.67,258487.0
2023-01-06,INSP,243.25,247.21,238.61,246.59,441615.0
2023-01-09,INSP,254.25,254.5,237.5,243.0,433410.0
2023-01-10,INSP,240.31,249.591,240.31,248.31,228893.0
2023-01-11,INSP,249.36,250.0,242.78,243.86,233755.0
2023-01-12,INSP,243.6,247.81,240.17,243.25,216685.0
2023-01-13,INSP,244.23,257.19,244.23,256.93,191661.0
2023-01-17,INSP,254.26,258.49,249.39,255.63,285701.0
2023-01-18,INSP,258.19,258.37,251.97,252.82,190394.0
2023-01-19,INSP,251.94,254.2575,248.6,248.85,247941.0
2023-01-20,INSP,251.53,254.11,243.31,253.18,191440.0
2023-01-23,INSP,252.74,254.82,251.035,251.88,155135.0
2023-01-24,INSP,250.39,257.05,248.38,249.33,181856.0
2023-01-25,INSP,245.66,250.19,242.34,249.79,148264.0
2023-01-26,INSP,256.0,256.8,250.24,254.25,247572.0
2023-01-27,INSP,252.24,255.535,250.07,253.24,113845.0
2023-01-30,INSP,251.89,253.08,249.44,250.8,180049.0
2023-01-31,INSP,252.54,260.9,249.67,253.06,273479.0
2023-02-01,INSP,251.96,259.6,251.66,257.62,282269.0
2023-02-02,INSP,261.0,263.56,255.32,256.94,309173.0
2023-02-03,INSP,253.49,259.72,250.93,251.35,228216.0
2023-02-06,INSP,250.86,251.93,240.54,243.99,316086.0
2023-02-07,INSP,241.61,250.64,238.83,249.58,327321.0
2023-02-08,INSP,254.24,275.16,254.005,267.71,873750.0
2023-02-09,INSP,271.38,276.565,264.9,268.34,517088.0
2023-02-10,INSP,267.99,272.3862,261.5516,263.16,424478.0
2023-02-13,INSP,263.89,275.19,262.26,271.05,383896.0
2023-02-14,INSP,268.85,276.539,267.0919,270.12,410841.0
2023-02-15,INSP,270.8,282.31,270.44,278.01,408906.0
2023-02-16,INSP,275.0,280.73,269.25,269.98,346701.0
2023-02-17,INSP,271.33,274.8689,265.825,268.86,330161.0
2023-02-21,INSP,266.33,269.29,263.73,264.79,332934.0
2023-02-22,INSP,264.4,269.32,260.3501,263.26,316661.0
2023-02-23,INSP,265.02,269.99,263.86,264.69,305041.0
2023-02-24,INSP,258.87,261.85,252.35,261.41,290441.0
2023-02-27,INSP,263.59,266.7,261.83,264.14,224046.0
2023-02-28,INSP,263.9,271.318,258.3,259.93,369379.0
2023-03-01,INSP,260.5,263.96,256.96,263.81,322725.0
2023-03-02,INSP,260.84,264.15,259.17,259.17,196078.0
2023-03-03,INSP,261.0,265.71,258.7301,264.26,223316.0
2023-03-06,INSP,263.41,266.89,261.76,266.07,205902.0
2023-03-07,INSP,266.07,267.31,257.26,257.75,281636.0
2023-03-08,INSP,257.45,259.56,245.8,253.47,439583.0
2023-03-09,INSP,254.17,254.4,242.675,243.07,326094.0
2023-03-10,INSP,243.0,243.0,228.06,229.06,330080.0
2023-03-13,INSP,227.44,242.785,224.42,234.52,468762.0
2023-03-14,INSP,238.84,242.88,233.35,238.64,363111.0
2023-03-15,INSP,233.51,245.12,233.51,242.06,312373.0
2023-03-16,INSP,239.8,253.92,238.43,253.71,437595.0
2023-03-17,INSP,253.35,253.35,244.34,246.85,399228.0
2023-03-20,INSP,245.86,250.27,239.89,248.08,309760.0
2023-03-21,INSP,250.24,251.65,244.82,248.52,352918.0
2023-03-22,INSP,246.8,249.83,241.92,241.92,237684.0
2023-03-23,INSP,244.39,246.3,232.9,235.23,311338.0
2023-03-24,INSP,235.51,250.14,234.25,248.35,570055.0
2023-03-27,INSP,251.73,254.32,245.4,248.5,257418.0
2023-03-28,INSP,248.5,248.5,237.13,238.62,316309.0
2023-03-29,INSP,242.33,246.78,239.98,242.0,349243.0
2023-03-30,INSP,243.97,244.575,237.82,238.0,237855.0
2023-03-31,INSP,239.5,242.76,232.84,234.07,464791.0
2023-04-03,INSP,234.0,234.0,224.04,227.96,670079.0
2023-04-04,INSP,229.59,231.16,225.52,226.52,412683.0
2023-04-05,INSP,225.79,228.775,223.21,228.58,346256.0
2023-04-06,INSP,228.81,237.71,227.1,234.01,432547.0
2023-04-10,INSP,232.55,232.815,227.46,231.77,300645.0
2023-04-11,INSP,235.72,241.79,235.67,239.91,339397.0
2023-04-12,INSP,241.94,243.595,238.16,238.17,209835.0
2023-04-13,INSP,240.34,247.1,240.34,246.97,244733.0
2023-04-14,INSP,248.32,261.77,247.05,261.26,557778.0
2023-04-17,INSP,260.27,266.08,260.27,265.96,319907.0
2023-04-18,INSP,267.69,268.04,260.9,262.49,281207.0
2023-04-19,INSP,262.54,267.93,261.975,263.58,249966.0
2023-04-20,INSP,262.07,270.7,262.07,264.85,306353.0
2023-04-21,INSP,266.0,275.065,265.515,274.95,334288.0
2023-04-24,INSP,274.97,277.175,272.8318,275.52,440031.0
2023-04-25,INSP,273.0,274.975,266.08,266.5,305773.0
2023-04-26,INSP,266.05,272.28,265.02,269.64,333734.0
2023-04-27,INSP,270.19,272.12,265.81,268.78,243096.0
2023-04-28,INSP,265.97,269.95,263.99,267.63,305158.0
2023-05-01,INSP,265.92,270.04,258.55,262.09,604433.0
2023-05-02,INSP,260.3,261.7,250.1,257.3,662487.0
2023-05-03,INSP,270.0,278.0,262.01,275.22,759066.0
2023-05-04,INSP,274.22,277.3,264.301,267.15,382973.0
2023-05-05,INSP,268.64,278.71,268.64,277.19,412703.0
2023-05-08,INSP,277.16,282.7,274.85,282.32,306112.0
2023-05-09,INSP,281.73,288.57,279.655,288.25,334079.0
2023-05-10,INSP,290.38,294.53,285.81,288.24,280586.0
2023-05-11,INSP,287.25,292.26,287.25,291.33,397768.0
2023-05-12,INSP,291.72,295.36,290.13,293.89,289328.0
2023-05-15,INSP,293.91,296.14,290.23,296.05,304453.0
2023-05-16,INSP,293.57,298.77,290.445,298.55,275065.0
2023-05-17,INSP,297.38,300.0,294.69,298.01,398591.0
2023-05-18,INSP,298.07,303.82,296.773,302.84,411557.0
2023-05-19,INSP,304.0,310.15,301.38,308.23,598433.0
2023-05-22,INSP,307.52,314.355,305.415,311.39,323352.0
2023-05-23,INSP,309.27,312.86,293.48,299.13,655757.0
2023-05-24,INSP,297.27,302.17,294.14,299.88,328643.0
2023-05-25,INSP,301.08,301.08,291.94,296.53,345511.0
2023-05-26,INSP,296.43,298.19,293.7396,294.29,262778.0
2023-05-30,INSP,295.0,300.0,292.06,293.41,218485.0
2023-05-31,INSP,293.94,294.28,288.88,292.49,345683.0
2023-06-01,INSP,293.34,302.27,292.22,302.23,281823.0
2023-06-02,INSP,306.02,310.03,298.98,309.69,362285.0
2023-06-05,INSP,305.69,310.38,302.07,308.59,262291.0
2023-06-06,INSP,307.45,316.795,306.76,314.83,352569.0
2023-06-07,INSP,314.0,315.6,297.51,302.66,502124.0
2023-06-08,INSP,303.78,310.11,298.005,308.82,328334.0
2023-06-09,INSP,311.12,315.54,305.77,307.0,315346.0
2023-06-12,INSP,309.03,310.015,301.9,303.13,292598.0
2023-06-13,INSP,303.16,308.65,301.49,306.19,305218.0
2023-06-14,INSP,310.3,314.539,305.79,309.24,292419.0
2023-06-15,INSP,307.65,312.14,304.15,305.24,304057.0
2023-06-16,INSP,309.41,316.0,309.36,311.4,469242.0
2023-06-20,INSP,307.64,315.44,306.0,313.14,410011.0
2023-06-21,INSP,313.57,317.74,307.1,308.99,309185.0
2023-06-22,INSP,309.06,321.34,308.205,318.01,518630.0
2023-06-23,INSP,315.11,323.23,313.31,315.08,3817953.0
2023-06-26,INSP,315.87,316.8091,308.34,310.88,494816.0
2023-06-27,INSP,311.76,315.18,307.36,309.21,331570.0
2023-06-28,INSP,309.72,318.8,309.72,316.98,343393.0
2023-06-29,INSP,316.05,324.19,314.0,319.2,311240.0
2023-06-30,INSP,321.0,327.77,320.92,324.64,236845.0
2023-07-03,INSP,322.09,323.78,317.46,319.53,160111.0
2023-07-05,INSP,323.17,325.02,314.02,315.47,255629.0
2023-07-06,INSP,313.29,314.28,304.75,306.42,441621.0
2023-07-07,INSP,306.58,313.045,306.27,311.53,257722.0
2023-07-10,INSP,310.42,314.92,307.98,310.78,338764.0
2023-07-11,INSP,308.87,313.82,307.66,312.61,226648.0
2023-07-12,INSP,314.9,320.04,313.09,317.89,280504.0
2023-07-13,INSP,320.65,326.54,319.25,323.44,209698.0
2023-07-14,INSP,326.0,330.0,322.245,326.08,244143.0
2023-07-17,INSP,326.84,327.51,324.26,325.91,149337.0
2023-07-18,INSP,324.18,324.84,315.83,322.11,269855.0
2023-07-19,INSP,327.16,328.695,313.3,320.98,290493.0
2023-07-20,INSP,318.5,323.09,315.79,318.13,323311.0
2023-07-21,INSP,317.36,318.56,307.05,307.35,538279.0
2023-07-24,INSP,304.99,304.99,282.21,289.05,971518.0
2023-07-25,INSP,288.69,295.26,285.44,288.4,526342.0
2023-07-26,INSP,287.0,288.6199,281.89,286.86,269091.0
2023-07-27,INSP,289.11,293.63,281.305,283.06,383645.0
2023-07-28,INSP,286.17,292.99,285.355,288.7,457459.0
2023-07-31,INSP,290.47,290.995,284.64,287.81,433542.0
2023-08-01,INSP,285.0,291.98,284.04,290.93,572523.0
2023-08-02,INSP,291.5,291.5,272.1,277.82,943241.0
2023-08-03,INSP,275.32,287.96,273.52,284.23,598376.0
2023-08-04,INSP,283.54,284.97,276.47,277.19,466384.0
2023-08-07,INSP,277.52,277.885,264.64,265.5,558217.0
2023-08-08,INSP,263.0,263.0,243.0,244.99,1093149.0
2023-08-09,INSP,245.96,252.36,237.325,240.5,607061.0
2023-08-10,INSP,239.9,249.9,237.21,246.75,627168.0
2023-08-11,INSP,245.0,245.235,240.135,242.85,303232.0
2023-08-14,INSP,242.37,251.54,240.14,251.43,451886.0
2023-08-15,INSP,252.97,255.27,245.76,246.46,324647.0
2023-08-16,INSP,245.61,248.8346,230.91,231.4,596557.0
2023-08-17,INSP,230.94,230.94,209.41,210.92,1420612.0
2023-08-18,INSP,210.17,218.265,210.0001,216.49,914801.0
2023-08-21,INSP,216.75,220.33,216.7,218.21,623895.0
2023-08-22,INSP,218.2,219.45,215.99,216.0,457513.0
2023-08-23,INSP,216.15,216.98,210.35,211.28,493308.0
2023-08-24,INSP,212.0,218.355,211.94,215.25,684550.0
2023-08-25,INSP,215.74,216.135,211.75,215.53,361412.0
2023-08-28,INSP,217.5,222.15,216.71,218.62,373531.0
2023-08-29,INSP,218.28,227.62,217.84,227.53,439363.0
2023-08-30,INSP,227.82,243.68,227.82,237.55,1206046.0
2023-08-31,INSP,235.74,239.0,226.05,226.88,649770.0
2023-09-01,INSP,230.45,239.39,228.3751,238.86,625633.0
2023-09-05,INSP,237.48,244.03,233.55,234.3,610555.0
2023-09-06,INSP,235.11,242.78,232.34,240.05,484437.0
2023-09-07,INSP,237.02,239.88,230.0,232.98,698395.0
2023-09-08,INSP,231.5,232.91,223.96,224.55,345928.0
2023-09-11,INSP,228.05,231.79,223.13,223.54,669515.0
2023-09-12,INSP,222.6,223.2,215.685,219.51,751348.0
2023-09-13,INSP,218.88,221.62,217.44,218.22,331563.0
2023-09-14,INSP,217.08,220.22,212.55,215.75,516101.0
2023-09-15,INSP,215.94,216.635,209.08,210.91,660842.0
2023-09-18,INSP,209.41,215.07,208.4583,210.1,348280.0
2023-09-19,INSP,208.62,209.73,202.83,203.58,730987.0
2023-09-20,INSP,205.94,207.06,197.725,199.81,522342.0
2023-09-21,INSP,198.0,198.82,190.74,191.21,523880.0
2023-09-22,INSP,193.92,193.92,184.76,185.0,748196.0
2023-09-25,INSP,184.58,188.125,183.1,185.07,587591.0
2023-09-26,INSP,184.25,188.06,183.43,187.37,617227.0
2023-09-27,INSP,188.78,193.14,186.04,192.75,794229.0
2023-09-28,INSP,193.3,201.21,192.93,200.38,668380.0
2023-09-29,INSP,202.0,203.28,197.3,198.44,585335.0
2023-10-02,INSP,198.31,200.31,193.0,194.76,553514.0
2023-10-03,INSP,193.74,193.74,179.65,182.44,777767.0
2023-10-04,INSP,182.62,186.22,178.1,185.28,727100.0
2023-10-05,INSP,185.85,188.47,175.56,177.13,751916.0
2023-10-06,INSP,176.84,179.21,173.0,178.83,542949.0
2023-10-09,INSP,176.94,178.05,173.5101,176.48,301156.0
2023-10-10,INSP,176.5,187.0,175.65,185.36,513823.0
2023-10-11,INSP,184.66,184.765,157.62,164.79,2058164.0
2023-10-12,INSP,165.99,165.99,147.68,148.0,1389814.0
2023-10-13,INSP,147.25,150.65,144.13,150.47,993070.0
2023-10-16,INSP,150.03,153.88,146.3,150.97,530821.0
2023-10-17,INSP,149.32,158.57,148.105,155.35,652334.0
2023-10-18,INSP,155.04,163.51,155.04,157.05,729440.0
2023-10-19,INSP,157.99,160.78,155.41,157.05,631722.0
2023-10-20,INSP,155.69,158.24,154.0901,156.15,525781.0
2023-10-23,INSP,154.12,157.535,148.91,149.7,530415.0
2023-10-24,INSP,149.9,158.41,149.53,156.85,586039.0
2023-10-25,INSP,153.13,154.76,150.945,151.6,608732.0
2023-10-26,INSP,151.11,152.42,148.41,149.46,487365.0
2023-10-27,INSP,153.95,155.87,146.14,150.82,529829.0
2023-10-30,INSP,151.86,152.33,143.81,145.84,521992.0
2023-10-31,INSP,148.71,150.585,145.59,147.16,647159.0
2023-11-01,INSP,145.86,156.57,143.87,156.33,762988.0
2023-11-02,INSP,157.82,162.57,157.82,160.31,608805.0
2023-11-03,INSP,166.12,173.36,164.27,169.7,1181422.0
2023-11-06,INSP,169.5,170.88,164.13,164.33,682241.0
2023-11-07,INSP,163.67,164.299,159.84,161.74,1440964.0
2023-11-08,INSP,138.87,142.0,129.9,129.95,2685953.0
2023-11-09,INSP,132.0,134.455,126.3107,126.9,1296568.0
2023-11-10,INSP,126.88,129.63,124.03,125.7,1295076.0
2023-11-13,INSP,129.85,130.5,123.27,125.26,809243.0
2023-11-14,INSP,128.88,136.895,128.73,133.09,900437.0
2023-11-15,INSP,133.18,147.15,132.87,145.76,1766224.0
2023-11-16,INSP,144.39,145.0,138.625,143.34,876397.0
2023-11-17,INSP,145.22,146.28,139.57,140.25,664395.0
2023-11-20,INSP,140.31,144.855,140.31,143.08,462274.0
2023-11-21,INSP,141.66,142.23,137.0,137.93,402669.0
2023-11-22,INSP,140.0,147.365,139.93,144.1,573499.0
2023-11-24,INSP,143.25,145.34,141.05,144.34,238184.0
2023-11-27,INSP,143.21,146.585,143.21,144.42,415125.0
2023-11-28,INSP,143.19,143.89,139.4,143.38,367576.0
2023-11-29,INSP,144.41,150.06,144.21,144.26,536704.0
2023-11-30,INSP,144.27,145.825,140.0,145.31,428670.0
2023-12-01,INSP,145.15,153.02,143.285,151.72,477328.0
2023-12-04,INSP,151.25,157.01,150.49,156.2,734575.0
2023-12-05,INSP,154.37,154.37,148.19,148.5,575862.0
2023-12-06,INSP,151.4,153.85,147.65,151.74,454904.0
2023-12-07,INSP,151.91,163.47,151.91,160.9,1085289.0
2023-12-08,INSP,159.62,168.2,159.62,165.09,1437949.0
2023-12-11,INSP,164.29,168.36,160.75,168.05,708444.0
2023-12-12,INSP,168.21,182.69,167.1325,178.08,1499182.0
2023-12-13,INSP,173.7,182.35,171.7458,180.91,1129496.0
2023-12-14,INSP,185.81,191.615,183.7,189.89,786902.0
2023-12-15,INSP,189.96,190.755,183.975,188.0,756554.0
2023-12-18,INSP,187.48,190.36,185.48,188.09,672399.0
2023-12-19,INSP,190.82,196.28,190.23,191.78,531933.0
2023-12-20,INSP,191.21,193.545,184.27,184.55,580020.0
2023-12-21,INSP,187.11,195.21,187.11,195.01,466934.0
2023-12-22,INSP,198.42,199.4,191.97,195.42,320880.0
2023-12-26,INSP,197.44,201.25,194.89,200.94,255208.0
2023-12-27,INSP,201.45,204.04,199.75,203.48,421742.0
2023-12-28,INSP,204.37,206.885,203.38,203.83,424371.0
2023-12-29,INSP,202.54,204.81,201.89,203.43,611179.0
2024-01-02,INSP,184.57,198.07,182.61,187.84,1122997.0
2024-01-03,INSP,181.66,181.68,163.57,165.3,1671043.0
2024-01-04,INSP,165.0,179.45,163.64,173.23,767410.0
2024-01-05,INSP,170.63,176.67,170.24,175.65,719779.0
2024-01-08,INSP,191.66,196.0026,183.26,191.73,951986.0
2024-01-09,INSP,188.5,195.605,188.11,189.88,572433.0
2024-01-10,INSP,190.51,192.52,186.36,191.05,442656.0
