Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,S,17.8,19.69,17.66,19.05,6237564.0
2022-11-14,S,18.88,19.0,17.78,18.22,5228739.0
2022-11-15,S,19.3,19.8,18.78,19.3,5639012.0
2022-11-16,S,18.79,19.05,17.215,17.43,4419941.0
2022-11-17,S,16.96,17.51,16.65,16.91,3436210.0
2022-11-18,S,17.71,17.71,16.6,16.64,2326864.0
2022-11-21,S,16.37,16.585,15.98,16.18,2101513.0
2022-11-22,S,16.0,16.345,15.6,16.33,2731015.0
2022-11-23,S,16.35,16.77,16.01,16.48,2099316.0
2022-11-25,S,16.31,16.47,16.18,16.32,789272.0
2022-11-28,S,16.09,16.24,15.75,16.06,2643390.0
2022-11-29,S,16.02,16.19,15.35,15.45,2786649.0
2022-11-30,S,14.29,14.63,13.27,14.5,10345302.0
2022-12-01,S,14.62,15.68,14.5845,15.03,5568021.0
2022-12-02,S,14.49,14.8,14.16,14.78,5192364.0
2022-12-05,S,14.62,14.98,14.05,14.25,5769019.0
2022-12-06,S,14.25,14.58,13.745,14.1,7329996.0
2022-12-07,S,14.01,14.64,12.8,13.97,8643476.0
2022-12-08,S,14.02,15.46,13.78,15.24,8132734.0
2022-12-09,S,15.1,15.77,15.1,15.37,3679511.0
2022-12-12,S,15.38,16.1,15.371,15.88,5474748.0
2022-12-13,S,17.08,17.34,15.32,15.63,5116554.0
2022-12-14,S,15.61,15.905,14.91,15.03,4081043.0
2022-12-15,S,14.7,15.27,14.265,14.44,4557112.0
2022-12-16,S,14.4,14.66,13.83,13.98,7973519.0
2022-12-19,S,13.81,13.81,13.03,13.17,3645707.0
2022-12-20,S,12.99,13.73,12.88,13.67,4563217.0
2022-12-21,S,13.75,13.9,13.23,13.62,2984803.0
2022-12-22,S,13.34,13.52,13.01,13.44,2348948.0
2022-12-23,S,13.35,13.39,12.86,13.27,2094496.0
2022-12-27,S,13.09,13.265,12.78,13.08,4165983.0
2022-12-28,S,13.08,13.33,12.91,13.23,3084260.0
2022-12-29,S,13.5,14.45,13.35,14.36,3509266.0
2022-12-30,S,14.02,14.69,14.02,14.59,2717329.0
2023-01-03,S,15.01,15.4,14.53,14.57,6334984.0
2023-01-04,S,14.86,15.07,14.12,14.99,6131751.0
2023-01-05,S,14.55,14.56,13.025,13.26,5835764.0
2023-01-06,S,13.29,13.53,12.69,13.28,4148422.0
2023-01-09,S,13.52,14.32,13.42,13.64,4277210.0
2023-01-10,S,13.46,14.29,13.165,14.25,5765078.0
2023-01-11,S,14.43,14.56,14.075,14.39,3551707.0
2023-01-12,S,13.29,14.22,13.11,14.2,7638272.0
2023-01-13,S,14.21,14.58,14.08,14.32,3934198.0
2023-01-17,S,14.32,14.725,13.735,14.51,7228166.0
2023-01-18,S,14.6,15.205,13.99,14.01,5523823.0
2023-01-19,S,13.79,14.15,13.49,13.81,4415537.0
2023-01-20,S,13.97,14.66,13.82,14.38,9246338.0
2023-01-23,S,14.2,14.94,13.975,14.82,4246183.0
2023-01-24,S,14.95,15.62,14.395,14.5,4430100.0
2023-01-25,S,13.98,14.435,13.6884,14.38,3932939.0
2023-01-26,S,14.83,15.08,14.115,14.52,3313516.0
2023-01-27,S,14.38,15.23,14.35,15.02,4925776.0
2023-01-30,S,14.88,14.97,14.42,14.59,4497938.0
2023-01-31,S,14.71,15.11,14.4,15.09,8411917.0
2023-02-01,S,15.09,16.005,14.88,15.82,6179658.0
2023-02-02,S,16.5,17.36,16.1,16.74,8258102.0
2023-02-03,S,15.98,16.5573,15.695,15.71,5079001.0
2023-02-06,S,15.4,15.75,15.05,15.07,4617666.0
2023-02-07,S,15.12,16.17,14.78,16.07,4926077.0
2023-02-08,S,16.31,16.58,15.66,15.75,2650053.0
2023-02-09,S,16.03,16.44,15.9,15.95,3210782.0
2023-02-10,S,15.66,15.7088,15.055,15.25,4669480.0
2023-02-13,S,15.41,16.0329,15.34,15.53,3991863.0
2023-02-14,S,15.27,16.705,15.01,16.65,4694567.0
2023-02-15,S,16.64,17.26,16.48,17.23,4398988.0
2023-02-16,S,16.74,16.77,16.27,16.4,3418864.0
2023-02-17,S,16.29,16.29,15.57,15.94,4378980.0
2023-02-21,S,15.32,15.75,15.11,15.32,4286195.0
2023-02-22,S,15.56,15.97,15.42,15.78,3852058.0
2023-02-23,S,16.01,16.18,15.32,15.84,2558955.0
2023-02-24,S,15.43,15.67,15.24,15.46,4124251.0
2023-02-27,S,15.66,16.075,15.625,15.74,3038546.0
2023-02-28,S,15.75,16.21,15.75,15.99,8755729.0
2023-03-01,S,15.99,16.16,15.17,15.32,4082929.0
2023-03-02,S,15.11,15.78,15.06,15.66,4668700.0
2023-03-03,S,15.82,16.49,15.71,16.45,4992423.0
2023-03-06,S,16.44,16.62,15.86,16.15,5190536.0
2023-03-07,S,16.14,16.4766,15.54,15.61,5626233.0
2023-03-08,S,15.91,15.91,15.09,15.52,10092591.0
2023-03-09,S,15.37,15.61,14.46,14.59,6645571.0
2023-03-10,S,14.48,14.59,13.71,13.91,12191469.0
2023-03-13,S,13.76,14.2497,13.245,13.96,9927142.0
2023-03-14,S,14.02,14.49,13.8,14.47,12823399.0
2023-03-15,S,15.5,16.24,15.2,15.54,15607021.0
2023-03-16,S,15.65,15.77,15.13,15.22,8489146.0
2023-03-17,S,15.17,15.56,14.88,15.07,9041606.0
2023-03-20,S,14.66,14.84,14.36,14.7,5879095.0
2023-03-21,S,14.78,15.065,14.665,14.97,5858599.0
2023-03-22,S,14.96,15.03,14.29,14.29,6489830.0
2023-03-23,S,14.44,15.11,14.44,15.07,5281066.0
2023-03-24,S,15.07,15.325,14.615,14.64,3938586.0
2023-03-27,S,14.8,15.305,14.61,15.19,5743909.0
2023-03-28,S,15.17,15.455,14.715,14.8,4883089.0
2023-03-29,S,14.95,15.15,14.66,14.89,4669244.0
2023-03-30,S,15.15,15.29,14.9825,15.26,3670374.0
2023-03-31,S,15.34,16.62,15.235,16.36,7831200.0
2023-04-03,S,16.11,16.58,16.05,16.47,5901192.0
2023-04-04,S,16.62,17.165,16.46,16.87,9942585.0
2023-04-05,S,16.74,17.02,15.78,16.27,7969039.0
2023-04-06,S,16.02,16.715,15.81,16.65,8628573.0
2023-04-10,S,16.34,16.495,15.73,16.42,5773788.0
2023-04-11,S,16.42,16.8,16.085,16.51,4241861.0
2023-04-12,S,16.93,17.32,16.5927,17.01,5077335.0
2023-04-13,S,17.3,17.92,17.23,17.54,11241102.0
2023-04-14,S,17.49,17.96,17.2103,17.87,4839628.0
2023-04-17,S,17.91,18.13,17.485,17.67,4915790.0
2023-04-18,S,17.96,18.33,17.71,17.87,3873546.0
2023-04-19,S,17.56,17.75,17.1904,17.57,4318397.0
2023-04-20,S,17.25,18.015,17.14,17.9,6600096.0
2023-04-21,S,18.07,18.995,17.85,18.58,8897204.0
2023-04-24,S,18.72,18.72,17.405,17.48,7333710.0
2023-04-25,S,17.0,17.17,16.44,16.58,7029175.0
2023-04-26,S,16.99,17.37,16.685,16.78,3965474.0
2023-04-27,S,17.15,17.2798,16.61,17.04,5710022.0
2023-04-28,S,16.55,16.7,15.665,16.07,6900565.0
2023-05-01,S,15.91,16.51,15.802,16.41,8944108.0
2023-05-02,S,16.21,16.39,15.405,15.73,5571429.0
2023-05-03,S,15.76,15.95,15.29,15.52,8977885.0
2023-05-04,S,15.72,15.95,15.48,15.84,6094321.0
2023-05-05,S,15.97,16.98,15.93,16.89,6953654.0
2023-05-08,S,17.25,17.71,17.18,17.48,7133838.0
2023-05-09,S,17.28,17.8553,17.24,17.42,7398654.0
2023-05-10,S,17.71,18.2,17.59,17.95,5815197.0
2023-05-11,S,17.97,18.225,17.72,18.21,5772699.0
2023-05-12,S,18.29,18.5,17.505,17.57,4846963.0
2023-05-15,S,17.57,18.645,17.42,18.26,7047698.0
2023-05-16,S,18.03,18.295,17.79,18.16,3745591.0
2023-05-17,S,18.28,18.72,18.09,18.35,3927104.0
2023-05-18,S,18.37,19.389,18.37,19.15,6875264.0
2023-05-19,S,19.0,19.2,18.53,18.75,4898326.0
