Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,PODD,305.21,307.48,289.19,293.67,611341.0
2022-11-14,PODD,293.66,297.95,289.52,290.08,456766.0
2022-11-15,PODD,292.5,307.48,292.5,305.67,545285.0
2022-11-16,PODD,304.4,310.88,298.74,299.24,443186.0
2022-11-17,PODD,298.17,301.25,291.12,297.45,320088.0
2022-11-18,PODD,300.38,303.11,291.27,295.53,435179.0
2022-11-21,PODD,293.5,298.13,290.51,290.6,370511.0
2022-11-22,PODD,291.73,293.265,285.05,289.73,409617.0
2022-11-23,PODD,292.23,293.82,288.29,292.63,329492.0
2022-11-25,PODD,291.82,295.945,291.82,293.7,106013.0
2022-11-28,PODD,292.5,294.6,289.5,292.31,237879.0
2022-11-29,PODD,292.75,293.6,288.08,288.56,219463.0
2022-11-30,PODD,290.07,300.66,289.71,299.37,821317.0
2022-12-01,PODD,302.43,310.77,302.18,308.0,437300.0
2022-12-02,PODD,302.86,309.0,300.0435,308.06,204531.0
2022-12-05,PODD,307.26,309.0,301.45,302.43,249372.0
2022-12-06,PODD,301.53,302.93,294.76,299.96,397844.0
2022-12-07,PODD,299.7,306.99,296.675,304.89,299154.0
2022-12-08,PODD,310.86,313.96,302.65,303.34,622877.0
2022-12-09,PODD,303.24,306.045,301.78,302.32,231637.0
2022-12-12,PODD,306.13,308.37,299.06,300.84,299906.0
2022-12-13,PODD,310.77,314.7,307.67,313.0,604534.0
2022-12-14,PODD,312.89,316.44,309.09,311.85,410425.0
2022-12-15,PODD,306.3,308.3,298.31,299.13,441803.0
2022-12-16,PODD,297.5,304.59,295.39,298.99,378886.0
2022-12-19,PODD,298.0,298.0,290.05,294.29,389264.0
2022-12-20,PODD,292.87,299.645,291.25,298.54,244560.0
2022-12-21,PODD,300.0,303.48,296.13,301.47,255906.0
2022-12-22,PODD,301.71,303.39,293.68,297.82,136355.0
2022-12-23,PODD,296.16,296.56,290.6,292.09,170435.0
2022-12-27,PODD,290.67,296.6,288.29,292.05,119564.0
2022-12-28,PODD,291.89,297.0,289.41,290.04,115169.0
2022-12-29,PODD,293.24,300.92,288.4396,295.04,146110.0
2022-12-30,PODD,291.15,294.58,286.05,294.39,236559.0
2023-01-03,PODD,299.5,300.0,282.77,286.38,329030.0
2023-01-04,PODD,289.47,290.08,278.5,279.72,656255.0
2023-01-05,PODD,279.59,289.89,278.18,286.16,523272.0
2023-01-06,PODD,289.86,299.97,285.0437,292.31,398746.0
2023-01-09,PODD,294.74,297.96,286.08,296.27,476591.0
2023-01-10,PODD,298.13,304.0,294.51,299.06,355762.0
2023-01-11,PODD,301.74,305.87,296.015,303.94,429011.0
2023-01-12,PODD,303.94,306.46,296.23,306.28,317947.0
2023-01-13,PODD,304.1,309.44,303.8775,305.89,262037.0
2023-01-17,PODD,305.0,306.14,298.08,298.92,548350.0
2023-01-18,PODD,301.45,301.76,289.02,289.16,534233.0
2023-01-19,PODD,287.0,294.83,284.43,292.38,489321.0
2023-01-20,PODD,291.79,295.66,288.69,294.31,223202.0
2023-01-23,PODD,294.51,299.04,293.44,294.82,228246.0
2023-01-24,PODD,294.98,295.98,290.47,291.68,251691.0
2023-01-25,PODD,288.58,290.38,281.84,289.7,301864.0
2023-01-26,PODD,291.35,292.0,284.05,286.13,329124.0
2023-01-27,PODD,285.6,288.795,281.38,285.5,334808.0
2023-01-30,PODD,285.5,289.99,283.0,286.2,407949.0
2023-01-31,PODD,285.82,292.49,285.38,287.32,239879.0
2023-02-01,PODD,287.02,292.5,281.74,290.53,339503.0
2023-02-02,PODD,290.935,294.08,286.28,292.95,412756.0
2023-02-03,PODD,291.43,295.32,287.535,295.19,338067.0
2023-02-06,PODD,293.48,295.16,288.27,292.17,375741.0
2023-02-07,PODD,290.97,290.97,283.01,289.36,165826.0
2023-02-08,PODD,288.21,293.6,287.43,288.07,252769.0
2023-02-09,PODD,289.38,291.0,286.0,286.54,374838.0
2023-02-10,PODD,285.39,294.9,285.39,294.83,326297.0
2023-02-13,PODD,296.16,306.97,296.16,298.61,393982.0
2023-02-14,PODD,296.61,297.045,286.23,293.2,440351.0
2023-02-15,PODD,291.95,298.57,291.95,297.74,264473.0
2023-02-16,PODD,294.84,303.99,292.1801,298.91,608372.0
2023-02-17,PODD,298.0,301.48,295.26,296.0,307781.0
2023-02-21,PODD,292.23,293.61,289.62,292.18,363609.0
2023-02-22,PODD,293.88,294.95,273.185,287.77,739428.0
2023-02-23,PODD,290.0,299.82,286.44,297.58,718095.0
2023-02-24,PODD,310.0,311.93,286.42,294.35,1178871.0
2023-02-27,PODD,295.64,296.46,279.15,281.94,760103.0
2023-02-28,PODD,281.53,286.68,275.81,276.36,831236.0
2023-03-01,PODD,276.05,282.91,272.46,282.48,450052.0
2023-03-02,PODD,281.31,288.37,281.31,282.95,472192.0
2023-03-03,PODD,285.52,289.065,281.77,287.17,574442.0
2023-03-06,PODD,284.66,290.67,281.07,290.57,530898.0
2023-03-07,PODD,290.93,295.675,285.38,286.52,373536.0
2023-03-08,PODD,289.91,289.91,283.36,286.17,256240.0
2023-03-09,PODD,286.69,294.12,282.05,283.12,373481.0
2023-03-10,PODD,285.07,286.59,269.06,280.36,760570.0
2023-03-13,PODD,299.35,308.3959,292.3,303.44,4428996.0
2023-03-14,PODD,307.0,313.41,306.68,312.77,16412410.0
2023-03-15,PODD,309.6,312.76,302.05,307.89,1605614.0
2023-03-16,PODD,306.0,314.26,304.75,312.36,900592.0
2023-03-17,PODD,312.03,313.83,305.14,309.09,1321905.0
2023-03-20,PODD,308.33,318.71,308.06,318.3,922051.0
2023-03-21,PODD,318.37,326.74,317.1,326.03,814413.0
2023-03-22,PODD,325.01,326.34,315.03,315.16,838966.0
2023-03-23,PODD,318.23,320.62,307.6,311.49,724411.0
2023-03-24,PODD,311.61,315.58,308.27,310.17,444235.0
2023-03-27,PODD,312.92,314.94,308.52,314.93,777364.0
2023-03-28,PODD,315.24,316.66,309.715,311.29,280646.0
2023-03-29,PODD,313.27,314.25,308.96,312.9,373376.0
2023-03-30,PODD,315.48,318.455,312.88,316.88,398514.0
2023-03-31,PODD,318.78,324.18,318.31,318.96,895436.0
2023-04-03,PODD,318.43,320.95,312.77,318.84,526407.0
2023-04-04,PODD,319.99,321.865,317.08,319.91,553851.0
2023-04-05,PODD,319.18,319.935,315.53,315.89,456337.0
2023-04-06,PODD,316.74,317.84,313.75,317.72,391003.0
2023-04-10,PODD,316.69,316.69,313.2,314.92,442344.0
2023-04-11,PODD,317.2,321.99,313.69,314.0,657736.0
2023-04-12,PODD,317.24,319.47,314.63,316.29,533838.0
2023-04-13,PODD,317.27,318.76,316.17,317.13,407978.0
2023-04-14,PODD,317.04,320.51,316.02,318.82,527139.0
2023-04-17,PODD,319.43,325.295,319.43,321.27,546246.0
2023-04-18,PODD,323.92,323.92,318.85,321.3,336801.0
2023-04-19,PODD,320.82,326.85,320.3,326.14,351531.0
2023-04-20,PODD,326.0,328.8671,320.375,321.14,387680.0
2023-04-21,PODD,321.53,324.6,313.58,319.3,561268.0
2023-04-24,PODD,319.07,321.27,316.265,318.77,498172.0
2023-04-25,PODD,316.19,325.22,316.19,321.33,426274.0
2023-04-26,PODD,320.27,321.16,316.28,316.67,432629.0
2023-04-27,PODD,316.9,318.465,311.58,316.23,530402.0
2023-04-28,PODD,314.31,319.33,313.3,318.04,332397.0
2023-05-01,PODD,317.19,322.5,317.095,318.87,405882.0
2023-05-02,PODD,316.92,318.46,311.92,314.84,457842.0
2023-05-03,PODD,314.7,323.91,314.7,320.99,500936.0
2023-05-04,PODD,320.99,324.09,315.65,322.23,720783.0
2023-05-05,PODD,325.96,335.91,324.375,328.76,975970.0
2023-05-08,PODD,326.98,327.3,316.27,318.98,770099.0
2023-05-09,PODD,318.14,322.19,315.7,319.72,578567.0
2023-05-10,PODD,322.19,326.21,320.3344,322.85,625286.0
2023-05-11,PODD,322.73,326.4,319.13,321.27,616748.0
2023-05-12,PODD,321.73,330.92,321.73,330.23,469176.0
2023-05-15,PODD,330.23,331.65,319.5,320.79,503575.0
2023-05-16,PODD,318.07,321.225,315.02,319.87,451597.0
2023-05-17,PODD,319.87,320.27,312.99,313.16,341553.0
2023-05-18,PODD,311.75,313.0189,301.08,302.87,984481.0
2023-05-19,PODD,302.97,305.544,299.0,301.03,490849.0
2023-05-22,PODD,302.28,309.72,299.5,306.55,611320.0
2023-05-23,PODD,303.46,305.6,294.49,296.43,461344.0
2023-05-24,PODD,293.83,295.98,291.42,293.75,383626.0
2023-05-25,PODD,292.74,292.74,268.76,277.05,1925518.0
2023-05-26,PODD,277.83,281.03,272.5,272.63,773445.0
2023-05-30,PODD,272.63,276.25,271.47,272.58,503536.0
2023-05-31,PODD,272.87,275.31,270.03,274.25,907095.0
2023-06-01,PODD,274.48,274.56,270.0,272.48,574541.0
2023-06-02,PODD,274.45,281.19,272.55,281.03,687048.0
2023-06-05,PODD,283.22,287.8,280.55,284.07,732792.0
2023-06-06,PODD,282.94,285.8,281.14,285.56,543717.0
2023-06-07,PODD,285.44,285.86,274.88,278.8,493951.0
2023-06-08,PODD,277.61,282.0,275.665,281.34,445968.0
2023-06-09,PODD,281.59,284.05,280.49,283.09,396601.0
2023-06-12,PODD,284.2,285.75,280.95,284.09,422384.0
2023-06-13,PODD,284.36,285.5,279.81,281.48,528104.0
2023-06-14,PODD,281.5,287.5,281.14,283.59,718520.0
2023-06-15,PODD,283.33,287.44,282.02,287.13,528898.0
2023-06-16,PODD,289.23,292.84,282.63,284.5,727811.0
2023-06-20,PODD,282.8,290.71,281.28,288.71,577053.0
2023-06-21,PODD,288.2,290.405,284.07,289.08,387862.0
2023-06-22,PODD,289.65,294.31,289.64,291.41,477250.0
2023-06-23,PODD,289.86,291.92,286.29,287.85,600347.0
2023-06-26,PODD,287.45,297.19,285.42,296.74,839547.0
2023-06-27,PODD,298.14,298.95,287.15,293.87,669173.0
2023-06-28,PODD,294.66,296.59,291.96,294.54,356301.0
2023-06-29,PODD,292.28,293.49,284.59,290.98,577030.0
2023-06-30,PODD,293.15,295.0,278.61,288.34,1022534.0
2023-07-03,PODD,287.03,287.03,280.75,283.43,279433.0
2023-07-05,PODD,283.17,283.5,279.62,281.99,802912.0
2023-07-06,PODD,279.11,281.33,276.85,277.68,656848.0
2023-07-07,PODD,277.43,280.67,275.42,278.67,535080.0
2023-07-10,PODD,277.92,285.85,277.92,285.53,562811.0
2023-07-11,PODD,285.33,286.0,280.175,282.5,452401.0
2023-07-12,PODD,283.98,286.8,281.31,285.49,400719.0
2023-07-13,PODD,286.83,288.0876,285.23,285.75,287500.0
2023-07-14,PODD,287.07,291.54,285.53,290.89,396093.0
2023-07-17,PODD,292.07,293.639,287.74,287.96,336740.0
2023-07-18,PODD,286.92,288.185,283.43,285.39,525531.0
2023-07-19,PODD,286.6,289.99,284.925,287.82,514930.0
2023-07-20,PODD,288.12,289.73,277.78,278.83,731871.0
2023-07-21,PODD,280.98,286.715,279.21,284.28,389342.0
2023-07-24,PODD,283.31,284.6,276.52,279.6,485162.0
2023-07-25,PODD,277.5,283.4,277.01,281.74,364951.0
2023-07-26,PODD,280.44,283.07,278.95,280.87,305829.0
2023-07-27,PODD,282.49,282.545,277.07,277.57,342891.0
2023-07-28,PODD,280.71,283.0,277.9825,280.53,284508.0
2023-07-31,PODD,281.83,281.83,274.48,276.75,325206.0
2023-08-01,PODD,275.19,277.65,269.55,270.94,536412.0
2023-08-02,PODD,269.0,270.08,266.17,268.74,408160.0
2023-08-03,PODD,268.12,269.335,263.7,265.28,576569.0
2023-08-04,PODD,264.48,266.475,260.47,263.14,626758.0
2023-08-07,PODD,263.08,265.69,259.84,260.85,521192.0
2023-08-08,PODD,255.0,256.81,236.74,238.34,2576882.0
2023-08-09,PODD,235.0,239.13,225.39,229.69,2758469.0
2023-08-10,PODD,230.33,239.7,229.98,233.66,1771717.0
2023-08-11,PODD,231.72,231.72,223.5,225.28,1611953.0
2023-08-14,PODD,226.0,226.87,221.89,223.89,845521.0
2023-08-15,PODD,222.86,227.55,218.81,219.08,1036745.0
2023-08-16,PODD,218.42,218.64,210.18,210.6,1244249.0
2023-08-17,PODD,211.69,211.69,204.26,208.29,1450109.0
2023-08-18,PODD,206.86,209.09,204.65,205.105,821538.0
2023-08-21,PODD,204.26,205.41,195.31,196.52,1681712.0
2023-08-22,PODD,196.6,199.8144,193.25,197.74,1779093.0
2023-08-23,PODD,199.5,199.925,188.09,188.52,1373263.0
2023-08-24,PODD,189.44,191.13,185.48,187.84,1385417.0
2023-08-25,PODD,188.06,189.75,180.75,183.0,1987660.0
2023-08-28,PODD,185.86,186.47,179.37,181.21,1024012.0
2023-08-29,PODD,181.21,192.04,178.55,189.48,2022104.0
2023-08-30,PODD,198.46,210.31,197.11,201.62,3015142.0
2023-08-31,PODD,201.5,202.385,191.28,191.71,1322121.0
2023-09-01,PODD,192.4,193.5,189.81,192.18,732238.0
2023-09-05,PODD,190.8,191.6,186.11,186.97,866518.0
2023-09-06,PODD,186.97,198.19,186.2718,193.4,1283906.0
2023-09-07,PODD,189.0,189.658,170.865,178.53,3238351.0
2023-09-08,PODD,179.41,180.93,171.1,171.92,1974874.0
2023-09-11,PODD,174.87,177.52,172.88,175.26,995594.0
2023-09-12,PODD,174.17,177.98,170.19,175.46,1198913.0
2023-09-13,PODD,175.64,182.31,175.62,176.98,1012385.0
2023-09-14,PODD,177.65,179.15,172.88,174.7,1101231.0
2023-09-15,PODD,175.43,175.5538,166.03,169.68,2420194.0
2023-09-18,PODD,168.73,172.68,168.14,170.98,1043619.0
2023-09-19,PODD,169.96,171.22,166.88,167.38,1490144.0
2023-09-20,PODD,168.35,169.04,164.54,164.74,741616.0
2023-09-21,PODD,162.49,164.09,157.27,159.93,1214601.0
2023-09-22,PODD,161.65,162.32,155.47,155.7,1081091.0
2023-09-25,PODD,155.01,157.14,154.11,154.67,757847.0
2023-09-26,PODD,153.15,159.48,152.43,159.29,1194323.0
2023-09-27,PODD,162.5,165.56,159.44,161.7,1414417.0
2023-09-28,PODD,162.22,167.005,161.7,163.86,1113610.0
2023-09-29,PODD,164.03,164.15,158.84,159.49,938955.0
2023-10-02,PODD,163.88,169.26,160.05,165.04,1421991.0
2023-10-03,PODD,162.01,165.51,156.11,156.8,1086193.0
2023-10-04,PODD,154.0,154.0,147.92,152.07,1377154.0
2023-10-05,PODD,153.89,154.0,143.86,146.08,1863927.0
2023-10-06,PODD,143.45,146.9,142.73,145.51,2682256.0
2023-10-09,PODD,144.96,146.485,141.57,144.62,827937.0
2023-10-10,PODD,143.8,147.73,141.281,146.13,1431365.0
2023-10-11,PODD,145.5,145.5,132.545,133.45,1704028.0
2023-10-12,PODD,134.38,134.53,125.82,127.77,2334884.0
2023-10-13,PODD,128.33,133.725,126.63,132.38,2014573.0
2023-10-16,PODD,134.52,136.56,130.91,135.91,1573184.0
2023-10-17,PODD,134.59,143.25,134.035,141.38,1337513.0
2023-10-18,PODD,141.69,148.22,141.59,144.87,1615886.0
2023-10-19,PODD,144.42,147.56,140.66,145.24,1717713.0
2023-10-20,PODD,145.3,147.79,144.22,144.73,1521463.0
2023-10-23,PODD,143.03,148.07,143.03,147.0,941517.0
2023-10-24,PODD,145.53,147.495,139.88,141.0,1126057.0
2023-10-25,PODD,139.5,140.9,135.88,139.64,1047461.0
2023-10-26,PODD,139.61,140.14,134.855,135.14,1141091.0
2023-10-27,PODD,145.0,145.98,131.28,133.43,1591567.0
2023-10-30,PODD,134.61,135.43,129.07,130.76,1095928.0
2023-10-31,PODD,131.77,134.02,131.35,132.57,867719.0
2023-11-01,PODD,132.31,138.04,128.68,137.72,1342425.0
2023-11-02,PODD,137.74,141.735,137.685,140.44,1498045.0
2023-11-03,PODD,156.0,168.995,155.9,162.58,2593272.0
2023-11-06,PODD,163.36,169.53,157.05,158.92,1446528.0
2023-11-07,PODD,159.18,163.86,158.61,161.87,986136.0
2023-11-08,PODD,160.87,160.96,153.95,154.97,1174216.0
2023-11-09,PODD,155.22,156.9525,151.56,152.88,752950.0
2023-11-10,PODD,152.69,157.64,152.04,155.1,1188130.0
2023-11-13,PODD,158.99,169.915,156.0,163.71,2705085.0
2023-11-14,PODD,168.66,174.87,168.66,172.95,2224346.0
2023-11-15,PODD,172.72,177.59,171.02,173.49,2240269.0
2023-11-16,PODD,173.22,176.26,170.64,174.76,1859894.0
2023-11-17,PODD,176.72,177.34,173.05,174.06,1997778.0
2023-11-20,PODD,173.85,181.65,172.61,181.26,2448699.0
2023-11-21,PODD,180.36,183.715,179.2469,181.32,1174747.0
2023-11-22,PODD,182.32,187.59,181.62,186.31,886395.0
2023-11-24,PODD,186.0,189.9649,185.84,187.95,475596.0
2023-11-27,PODD,186.78,189.6,185.28,187.74,964822.0
2023-11-28,PODD,186.11,188.32,182.77,185.72,927104.0
2023-11-29,PODD,187.16,194.87,187.16,188.92,878100.0
2023-11-30,PODD,188.8,190.29,185.73,189.09,1293624.0
2023-12-01,PODD,188.62,192.5,185.87,192.19,928368.0
2023-12-04,PODD,196.14,197.6,192.49,193.99,876323.0
2023-12-05,PODD,192.77,193.66,188.42,191.14,720666.0
2023-12-06,PODD,191.21,194.97,189.21,189.3,704766.0
2023-12-07,PODD,190.5,194.75,188.88,194.54,860102.0
2023-12-08,PODD,194.54,198.15,192.88,194.66,886968.0
2023-12-11,PODD,193.78,195.43,189.27,195.18,831670.0
2023-12-12,PODD,195.03,198.585,193.25,197.29,924335.0
2023-12-13,PODD,196.74,205.05,195.0025,204.83,828817.0
2023-12-14,PODD,208.43,213.86,206.36,206.81,1580655.0
2023-12-15,PODD,206.51,208.265,204.14,206.97,1407098.0
2023-12-18,PODD,205.9,210.42,203.54,209.63,734179.0
2023-12-19,PODD,211.5,216.12,210.43,214.61,991273.0
2023-12-20,PODD,214.6,215.8,207.85,207.97,770382.0
2023-12-21,PODD,213.59,219.31,213.08,218.97,661385.0
2023-12-22,PODD,218.66,219.2455,213.78,216.18,550668.0
2023-12-26,PODD,217.53,221.39,216.0,220.71,543751.0
2023-12-27,PODD,221.19,223.56,219.84,221.42,740245.0
2023-12-28,PODD,221.42,222.85,218.835,219.43,511399.0
2023-12-29,PODD,218.77,219.7991,215.885,216.98,524182.0
2024-01-02,PODD,214.14,217.46,208.29,209.11,919396.0
2024-01-03,PODD,206.98,207.27,191.92,194.66,1264800.0
2024-01-04,PODD,194.29,201.46,194.29,199.81,963380.0
2024-01-05,PODD,197.31,201.41,196.5,197.87,846494.0
2024-01-08,PODD,198.39,203.065,196.37,202.43,1016928.0
2024-01-09,PODD,199.81,209.2,199.81,204.68,1374071.0
2024-01-10,PODD,204.57,206.715,203.1,205.07,1031674.0
2024-01-11,PODD,204.56,207.78,200.94,207.55,838759.0
2024-01-12,PODD,208.31,211.7,200.28,200.5,1168691.0
2024-01-16,PODD,198.58,201.285,195.24,199.6,809017.0
2024-01-17,PODD,197.03,200.99,196.785,200.9,571273.0
2024-01-18,PODD,202.81,204.58,200.82,203.91,651382.0
