Date,Ticker,Open,High,Low,Close,Volume
2023-10-20,CPBI,8.25,9.2,8.2006,9.1,533907
2023-10-23,CPBI,9.29,9.29,9.0014,9.05,52201
2023-10-24,CPBI,9.0,9.09,9.0,9.05,74203
2023-10-25,CPBI,9.09,9.24,9.0,9.07,24275
2023-10-26,CPBI,9.07,9.07,8.96,9.0,14882
2023-10-27,CPBI,9.0,9.07,8.91,9.07,6125
2023-10-30,CPBI,9.08,9.08,8.9101,9.05,53756
2023-10-31,CPBI,8.93,9.06,8.91,9.02,71955
2023-11-01,CPBI,8.96,9.1,8.96,9.1,78379
2023-11-02,CPBI,9.02,9.1,8.92,9.0,53689
2023-11-03,CPBI,9.0,10.0,8.93,9.6,85811
2023-11-06,CPBI,9.64,10.0,9.4312,9.5,48649
2023-11-07,CPBI,9.26,9.41,9.1701,9.25,22678
2023-11-08,CPBI,9.3,9.44,9.27,9.44,10256
2023-11-09,CPBI,9.2501,9.51,9.25,9.44,41747
2023-11-10,CPBI,9.47,9.75,9.41,9.6,54316
2023-11-13,CPBI,9.51,9.69,9.48,9.64,25911
2023-11-14,CPBI,9.65,9.75,9.52,9.69,39864
2023-11-15,CPBI,9.51,9.8,9.48,9.79,26642
2023-11-16,CPBI,9.58,9.95,9.4001,9.86,44202
2023-11-17,CPBI,9.7,9.96,9.7,9.89,22041
2023-11-20,CPBI,9.8876,9.97,9.61,9.93,22322
2023-11-21,CPBI,9.66,9.99,9.66,9.91,17966
2023-11-22,CPBI,9.78,9.98,9.78,9.98,3409
2023-11-24,CPBI,9.82,9.98,9.81,9.98,2469
2023-11-27,CPBI,9.8,9.98,9.8,9.98,3178
2023-11-28,CPBI,9.98,9.98,9.86,9.98,8260
2023-11-29,CPBI,9.86,10.2,9.84,9.93,104546
2023-11-30,CPBI,9.9,10.015,9.7,9.9,26765
2023-12-01,CPBI,9.9,9.9499,9.82,9.94,9979
2023-12-04,CPBI,9.94,10.0,9.88,10.0,17211
2023-12-05,CPBI,9.95,10.0,9.9,9.9,12777
2023-12-06,CPBI,9.9,9.96,9.9,9.9,8033
2023-12-07,CPBI,9.82,10.0,9.82,9.85,14470
2023-12-08,CPBI,9.99,10.04,9.9,9.94,21934
2023-12-11,CPBI,9.94,10.04,9.76,9.76,17451
2023-12-12,CPBI,9.89,9.97,9.8,9.83,13448
2023-12-13,CPBI,9.98,10.02,9.75,9.75,14418
2023-12-14,CPBI,10.0,10.09,9.9,9.91,73427
2023-12-15,CPBI,10.02,10.03,9.6,9.6,184169
2023-12-18,CPBI,9.76,9.879,9.62,9.62,54015
2023-12-19,CPBI,9.75,9.93,9.65,9.65,102590
2023-12-20,CPBI,9.82,9.82,9.68,9.785,6905
2023-12-21,CPBI,9.8,9.81,9.69,9.79,6185
2023-12-22,CPBI,9.81,9.98,9.8,9.97,12694
2023-12-26,CPBI,9.97,10.05,9.936,10.01,20582
2023-12-27,CPBI,10.0262,10.08,10.02,10.07,21121
2023-12-28,CPBI,10.03,10.15,9.99,10.13,60374
2023-12-29,CPBI,10.15,10.2,10.07,10.2,48807
2024-01-02,CPBI,10.18,10.6,10.03,10.56,46005
2024-01-03,CPBI,10.2884,10.6,10.25,10.6,3953
2024-01-04,CPBI,10.56,10.72,10.56,10.68,13101
2024-01-05,CPBI,10.5501,10.74,10.5501,10.74,8221
2024-01-08,CPBI,10.74,10.75,10.7196,10.75,3265
2024-01-09,CPBI,10.75,10.8,10.6772,10.8,4928
2024-01-10,CPBI,10.74,10.74,10.6,10.61,3641
2024-01-11,CPBI,10.69,10.7,10.5,10.65,29875
2024-01-12,CPBI,10.68,10.68,10.59,10.63,5812
2024-01-16,CPBI,10.51,10.59,10.5,10.59,13247
2024-01-17,CPBI,10.45,10.56,10.45,10.56,680
2024-01-18,CPBI,10.6599,10.8,10.48,10.73,28211
2024-01-19,CPBI,10.75,10.87,10.57,10.75,46224
2024-01-22,CPBI,10.75,10.75,10.55,10.725,12283
2024-01-23,CPBI,10.7046,10.74,10.62,10.62,6680
2024-01-24,CPBI,10.64,10.64,10.5001,10.53,19464
2024-01-25,CPBI,10.5401,10.542,10.49,10.49,7193
2024-01-26,CPBI,10.515,10.515,10.38,10.44,17226
2024-01-29,CPBI,10.42,10.44,10.25,10.3237,17709
2024-01-30,CPBI,10.2501,10.33,10.25,10.26,6121
2024-01-31,CPBI,10.24,10.275,10.23,10.25,12244
2024-02-01,CPBI,10.2101,10.22,10.06,10.19,81912
2024-02-02,CPBI,10.08,10.26,10.05,10.26,30945
2024-02-05,CPBI,10.24,10.24,10.16,10.19,754
2024-02-06,CPBI,10.21,10.21,10.05,10.1,16005
2024-02-07,CPBI,10.1,10.1,9.91,9.94,34621
2024-02-08,CPBI,9.99,10.05,9.99,10.01,2468
2024-02-09,CPBI,9.98,10.046,9.98,10.02,4408
2024-02-12,CPBI,10.0,10.26,10.0,10.19,7615
2024-02-13,CPBI,10.195,10.2,10.15,10.2,3233
2024-02-14,CPBI,10.18,10.23,10.18,10.23,2173
2024-02-15,CPBI,10.24,10.29,10.23,10.29,3614
2024-02-16,CPBI,10.29,10.29,10.241,10.241,5898
2024-02-20,CPBI,10.21,10.26,10.2014,10.23,1784
2024-02-21,CPBI,10.22,10.28,10.2001,10.28,8336
2024-02-22,CPBI,10.21,10.25,10.15,10.15,21578
2024-02-23,CPBI,10.225,10.23,10.225,10.23,1218
2024-02-26,CPBI,10.2336,10.2336,10.19,10.19,1520
2024-02-27,CPBI,10.2,10.2,10.2,10.2,1371
2024-02-28,CPBI,10.2,10.25,10.1999,10.25,1832
2024-02-29,CPBI,10.26,10.29,10.26,10.29,1352
2024-03-01,CPBI,10.2604,10.27,10.21,10.2101,4074
2024-03-05,CPBI,10.2338,10.2491,10.2101,10.2487,2338
2024-03-06,CPBI,10.245,10.245,10.2101,10.2101,1475
2024-03-07,CPBI,10.21,10.2985,10.21,10.25,17079
2024-03-08,CPBI,10.25,10.2897,10.25,10.2501,3111
2024-03-11,CPBI,10.25,10.2886,10.25,10.28,3378
2024-03-12,CPBI,10.2999,10.2999,10.21,10.22,5888
2024-03-13,CPBI,10.29,10.29,10.24,10.24,1274
2024-03-14,CPBI,10.2236,10.26,10.16,10.21,2943
2024-03-15,CPBI,10.26,10.26,10.16,10.16,2885
2024-03-18,CPBI,10.19,10.2,10.16,10.16,1631
2024-03-19,CPBI,10.135,10.19,10.1,10.15,3864
2024-03-20,CPBI,10.15,10.27,10.12,10.27,2965
2024-03-21,CPBI,10.215,10.29,10.21,10.21,1092
2024-03-22,CPBI,10.22,10.28,10.22,10.25,1195
2024-03-25,CPBI,10.27,10.28,10.2663,10.2663,1641
2024-03-26,CPBI,10.25,10.2533,10.22,10.24,2109
2024-03-27,CPBI,10.2599,10.2599,10.255,10.255,1666
2024-03-28,CPBI,10.2599,10.2599,10.22,10.22,840
2024-04-01,CPBI,10.25,10.255,10.2,10.2,2938
2024-04-02,CPBI,10.16,10.25,10.15,10.2,2491
2024-04-03,CPBI,10.25,10.25,10.25,10.25,285
2024-04-04,CPBI,10.2,10.24,10.1831,10.24,1139
2024-04-05,CPBI,10.25,10.25,10.135,10.1609,8542
2024-04-08,CPBI,10.08,10.14,10.07,10.14,2037
2024-04-09,CPBI,10.17,10.17,10.17,10.17,104
2024-04-10,CPBI,10.1,10.1,10.01,10.05,3261
2024-04-11,CPBI,10.025,10.075,10.0101,10.075,1912
2024-04-12,CPBI,10.08,10.08,10.01,10.05,1640
2024-04-15,CPBI,10.055,10.1,10.0,10.05,10542
2024-04-16,CPBI,10.03,10.03,10.0,10.01,4241
2024-04-17,CPBI,10.0,10.05,9.975,9.975,1885
2024-04-18,CPBI,10.05,10.05,10.0,10.04,2263
2024-04-19,CPBI,9.97,10.07,9.97,10.07,4995
2024-04-22,CPBI,10.05,10.26,10.05,10.25,9200
2024-04-23,CPBI,10.25,10.25,10.25,10.25,258
2024-04-25,CPBI,10.0601,10.25,10.0601,10.155,748
2024-04-26,CPBI,10.12,10.12,10.12,10.12,176
2024-04-29,CPBI,10.1458,10.1886,10.03,10.06,7806
2024-04-30,CPBI,10.05,10.07,10.0,10.07,2445
2024-05-01,CPBI,10.0,10.0,9.96,10.0,6658
2024-05-02,CPBI,9.9877,10.07,9.9802,10.04,3318
2024-05-03,CPBI,10.02,10.19,10.0,10.19,1998
2024-05-06,CPBI,10.19,10.2,10.03,10.07,2532
2024-05-07,CPBI,10.06,10.25,10.06,10.25,6764
2024-05-08,CPBI,10.18,10.18,10.075,10.0996,1602
2024-05-09,CPBI,10.0892,10.15,10.0211,10.13,6113
2024-05-10,CPBI,10.1,10.1,10.0,10.01,8723
2024-05-13,CPBI,10.0,10.13,10.0,10.03,3710
2024-05-14,CPBI,10.0,10.07,9.98,10.07,5681
2024-05-15,CPBI,10.12,10.13,10.0001,10.0001,1071
2024-05-16,CPBI,10.0915,10.14,9.96,9.98,7965
2024-05-17,CPBI,9.9877,10.0,9.96,9.96,6370
2024-05-20,CPBI,9.98,10.01,9.98,10.01,16641
2024-05-21,CPBI,10.03,10.06,9.97,10.06,2875
2024-05-22,CPBI,9.99,10.15,9.99,10.06,436
2024-05-23,CPBI,10.07,10.07,10.045,10.05,3244
2024-05-24,CPBI,10.11,10.11,10.035,10.035,1353
2024-05-28,CPBI,10.08,10.08,10.05,10.06,732
2024-05-29,CPBI,9.9814,10.08,9.9814,10.04,811
2024-05-30,CPBI,9.97,10.08,9.97,10.02,2862
2024-05-31,CPBI,10.02,10.02,9.97,9.97,1114
2024-06-03,CPBI,10.01,10.04,9.97,10.03,2285
2024-06-04,CPBI,10.0,10.0,9.96,9.9999,3674
2024-06-05,CPBI,10.0,10.08,10.0,10.08,2891
2024-06-06,CPBI,10.0999,10.1,10.01,10.085,5036
2024-06-07,CPBI,10.09,10.09,10.055,10.055,911
2024-06-10,CPBI,10.01,10.07,10.01,10.07,790
2024-06-11,CPBI,10.11,10.12,10.01,10.12,1853
2024-06-12,CPBI,10.12,10.12,10.02,10.1127,1327
2024-06-13,CPBI,10.0201,10.0201,10.0201,10.0201,1187
2024-06-17,CPBI,10.03,10.08,10.03,10.032,1930
2024-06-18,CPBI,10.08,10.08,10.08,10.08,1478
2024-06-20,CPBI,10.03,10.12,10.03,10.12,1258
2024-06-21,CPBI,10.0301,10.14,9.9858,10.14,6122
2024-06-24,CPBI,10.1074,10.14,10.1074,10.14,2078
2024-06-25,CPBI,10.139,10.1396,10.08,10.08,1771
2024-06-26,CPBI,10.095,10.14,10.095,10.13,541
2024-06-27,CPBI,10.1004,10.15,10.095,10.14,4553
2024-06-28,CPBI,10.07,10.14,10.07,10.11,2226
2024-07-01,CPBI,10.1399,10.14,10.1281,10.14,1432
2024-07-02,CPBI,10.14,10.15,10.1,10.1,4914
2024-07-03,CPBI,10.12,10.14,10.087,10.13,3524
2024-07-05,CPBI,10.14,10.14,10.13,10.14,600
2024-07-08,CPBI,10.14,10.2,10.14,10.1857,2573
2024-07-09,CPBI,10.2,10.25,10.2,10.2221,757
2024-07-10,CPBI,10.23,10.24,10.225,10.23,2222
2024-07-11,CPBI,10.25,10.25,10.16,10.2,17181
2024-07-12,CPBI,10.11,10.28,10.11,10.28,5300
2024-07-15,CPBI,10.28,10.7,10.225,10.7,19532
2024-07-16,CPBI,10.645,10.74,10.645,10.74,7974
2024-07-17,CPBI,10.71,10.71,10.71,10.71,469
2024-07-18,CPBI,10.73,10.73,10.62,10.67,3808
2024-07-19,CPBI,10.67,10.67,10.58,10.58,452
2024-07-22,CPBI,10.6101,10.7,10.6101,10.7,2046
2024-07-23,CPBI,10.7,11.19,10.67,11.04,19453
2024-07-24,CPBI,11.0399,12.2,10.76,10.88,45167
2024-07-25,CPBI,10.9999,11.26,10.979,11.23,11030
2024-07-26,CPBI,11.25,11.6781,11.25,11.36,4598
2024-07-29,CPBI,11.345,11.345,11.25,11.25,2261
2024-07-31,CPBI,11.25,11.61,11.25,11.5,1388
2024-08-01,CPBI,11.71,11.71,10.87,10.88,1503
2024-08-02,CPBI,10.86,11.12,10.81,11.03,4349
2024-08-05,CPBI,10.71,11.35,10.69,11.13,4649
2024-08-07,CPBI,11.13,11.13,11.0114,11.0114,1164
2024-08-08,CPBI,11.25,11.56,11.25,11.56,2692
2024-08-12,CPBI,11.62,11.62,11.405,11.55,3634
2024-08-13,CPBI,11.53,11.825,11.53,11.8,9665
2024-08-14,CPBI,11.7899,11.7899,11.7899,11.7899,279
2024-08-15,CPBI,11.8,11.8,11.6896,11.7999,4285
2024-08-16,CPBI,11.635,11.7698,11.6,11.6,1653
2024-08-19,CPBI,11.65,11.65,11.5787,11.59,1678
2024-08-20,CPBI,11.6395,11.6395,11.5834,11.5834,454
2024-08-21,CPBI,11.6444,11.6444,11.6444,11.6444,247
2024-08-22,CPBI,11.6,11.65,11.51,11.65,23306
2024-08-23,CPBI,11.64,11.72,11.64,11.7,2145
2024-08-26,CPBI,11.88,11.88,11.7,11.85,2569
2024-08-27,CPBI,11.8262,11.8262,11.6901,11.7,3586
2024-08-28,CPBI,11.84,11.85,11.8269,11.8269,2213
2024-08-29,CPBI,11.685,11.7134,11.57,11.57,2169
2024-08-30,CPBI,11.57,11.83,11.57,11.83,2524
2024-09-03,CPBI,11.83,11.83,11.685,11.7229,2473
2024-09-04,CPBI,11.61,11.61,11.51,11.51,2254
2024-09-09,CPBI,11.66,11.66,11.66,11.66,695
2024-09-10,CPBI,11.76,11.775,11.52,11.52,1502
2024-09-11,CPBI,11.54,11.54,11.52,11.52,457
2024-09-12,CPBI,11.54,11.7546,11.52,11.52,7604
2024-09-13,CPBI,11.53,11.88,11.53,11.79,6918
2024-09-16,CPBI,11.65,11.8601,11.54,11.78,3679
2024-09-17,CPBI,11.58,11.8489,11.58,11.6,11714
2024-09-18,CPBI,11.8491,12.0,11.61,11.63,7261
2024-09-19,CPBI,11.855,11.9972,11.82,11.91,2210
2024-09-20,CPBI,11.955,12.02,11.71,12.02,33035
2024-09-23,CPBI,12.03,12.03,12.0,12.01,2875
2024-09-24,CPBI,12.01,12.01,11.87,11.87,2124
2024-09-25,CPBI,11.87,12.1,11.85,12.1,7917
2024-09-26,CPBI,12.1,12.59,12.0,12.4,9823
2024-09-27,CPBI,12.4,12.51,12.4,12.4,1481
2024-09-30,CPBI,12.755,12.755,12.56,12.56,1421
2024-10-01,CPBI,12.65,12.65,12.65,12.65,437
2024-10-02,CPBI,12.59,12.59,12.4064,12.55,7535
2024-10-03,CPBI,12.64,12.65,12.6234,12.65,1427
2024-10-04,CPBI,12.625,13.45,12.625,13.45,12489
2024-10-07,CPBI,13.05,13.4486,13.05,13.3,87486
2024-10-08,CPBI,12.8,13.44,12.8,13.148,7711
2024-10-09,CPBI,13.39,13.64,13.09,13.3,10666
2024-10-11,CPBI,13.5961,13.9,13.3101,13.9,2630
2024-10-14,CPBI,13.51,13.63,13.51,13.52,986
2024-10-15,CPBI,13.6,13.75,13.5,13.5,10682
2024-10-16,CPBI,13.74,13.92,13.625,13.92,11399
2024-10-17,CPBI,13.79,14.0,13.75,13.88,5218
2024-10-18,CPBI,14.0,14.04,13.9158,14.04,1679
2024-10-21,CPBI,14.04,14.09,13.7801,13.89,4326
2024-10-22,CPBI,13.8,13.8499,13.75,13.75,3212
2024-10-23,CPBI,13.75,13.75,13.6,13.625,40777
2024-10-24,CPBI,13.6092,13.75,13.6,13.75,4012
2024-10-25,CPBI,13.66,13.66,13.6,13.6,435
2024-10-28,CPBI,13.6004,13.7295,13.6004,13.7295,429
2024-10-29,CPBI,13.75,13.75,13.6,13.75,104641
2024-10-30,CPBI,13.74,13.85,13.6613,13.75,8652
2024-10-31,CPBI,13.75,13.95,13.75,13.95,26932
2024-11-01,CPBI,14.0,14.0999,14.0,14.05,2029
2024-11-04,CPBI,14.17,14.17,13.9899,14.0,12705
2024-11-05,CPBI,13.99,14.1,13.99,14.1,10285
2024-11-06,CPBI,14.2,15.0,14.2,14.4924,25558
2024-11-07,CPBI,14.5,14.68,14.5,14.525,13337
