Date,Ticker,Open,High,Low,Close,Volume
2023-03-07,LVS,59.69,59.91,58.5,59.0,10668828.0
2023-03-08,LVS,59.0,59.35,58.56,59.05,2300354.0
2023-03-09,LVS,58.85,58.865,56.275,56.52,6619603.0
2023-03-10,LVS,56.03,57.19,54.76,56.21,6096992.0
2023-03-13,LVS,55.2,56.37,55.07,55.94,5174709.0
2023-03-14,LVS,56.46,56.79,55.54,55.88,5208293.0
2023-03-15,LVS,54.535,54.66,51.82,53.11,6976842.0
2023-03-16,LVS,52.935,54.67,52.32,54.47,4126993.0
2023-03-17,LVS,54.22,55.08,53.63,54.69,5346212.0
2023-03-20,LVS,54.57,55.97,54.53,54.96,3717879.0
2023-03-21,LVS,56.0,56.325,55.12,55.16,4195364.0
2023-03-22,LVS,55.49,55.74,54.42,54.44,3427319.0
2023-03-23,LVS,54.94,55.9,54.05,54.73,3948048.0
2023-03-24,LVS,54.11,54.46,53.42,54.35,3291550.0
2023-03-27,LVS,54.41,54.73,53.765,54.26,2443181.0
2023-03-28,LVS,54.69,55.15,53.97,54.58,2408132.0
2023-03-29,LVS,54.69,55.47,54.46,54.9,2678425.0
2023-03-30,LVS,55.42,55.55,54.61,55.54,3475395.0
2023-03-31,LVS,56.0,57.51,55.87,57.45,4272895.0
2023-04-03,LVS,59.61,60.3,58.33,58.72,5731331.0
2023-04-04,LVS,58.12,58.23,57.01,57.66,3363282.0
2023-04-05,LVS,57.73,57.73,56.02,56.55,2436452.0
2023-04-06,LVS,56.68,57.02,55.46,57.01,2818900.0
2023-04-10,LVS,56.75,57.48,56.65,57.02,2476446.0
2023-04-11,LVS,57.29,57.39,55.85,55.93,2896491.0
2023-04-12,LVS,56.54,56.93,55.615,55.88,3447171.0
2023-04-13,LVS,56.7,57.67,56.34,57.53,5199729.0
2023-04-14,LVS,57.21,58.34,57.14,58.25,3327666.0
2023-04-17,LVS,58.31,59.3,58.08,58.17,3911847.0
2023-04-18,LVS,58.75,60.08,58.45,59.35,3720097.0
2023-04-19,LVS,59.13,59.98,58.28,59.36,5847866.0
2023-04-20,LVS,62.14,63.49,61.0,61.53,15784401.0
2023-04-21,LVS,61.4,63.24,60.81,63.05,7333390.0
2023-04-24,LVS,63.05,63.96,62.71,63.95,8802889.0
2023-04-25,LVS,63.5,63.6783,62.34,62.41,7377093.0
2023-04-26,LVS,62.965,63.309,61.66,61.8,3583442.0
2023-04-27,LVS,62.21,62.29,60.325,62.22,6545863.0
2023-04-28,LVS,61.75,64.04,61.63,63.85,4683984.0
2023-05-01,LVS,64.39,65.58,64.27,64.86,5375403.0
2023-05-02,LVS,64.4,64.48,63.06,63.63,3602338.0
2023-05-03,LVS,63.2,63.225,61.241,61.43,4035067.0
2023-05-04,LVS,61.47,62.1,60.81,61.7,3328433.0
2023-05-05,LVS,62.22,62.5,61.33,61.65,3183414.0
2023-05-08,LVS,61.72,62.3663,61.44,62.2,2505739.0
2023-05-09,LVS,61.43,62.49,60.63,62.37,2776218.0
2023-05-10,LVS,62.57,63.51,61.43,62.52,5601157.0
2023-05-11,LVS,62.23,62.78,61.02,61.15,3817963.0
2023-05-12,LVS,60.82,61.42,59.58,60.12,2956804.0
2023-05-15,LVS,60.62,60.62,59.61,59.95,2836808.0
2023-05-16,LVS,59.74,59.79,58.29,58.41,3352709.0
2023-05-17,LVS,59.12,60.66,58.915,59.64,3476916.0
2023-05-18,LVS,59.72,60.88,59.59,60.64,2621971.0
2023-05-19,LVS,60.47,60.71,60.09,60.49,1966438.0
2023-05-22,LVS,60.65,61.15,59.4018,59.49,2390437.0
2023-05-23,LVS,58.66,58.66,55.41,55.71,7604438.0
2023-05-24,LVS,54.87,56.27,54.7811,55.9,3865716.0
2023-05-25,LVS,56.1,56.78,55.63,55.82,2879467.0
2023-05-26,LVS,55.88,56.74,55.52,56.35,3047583.0
2023-05-30,LVS,56.02,56.45,54.74,55.03,4885404.0
2023-05-31,LVS,54.97,55.23,53.99,55.13,6259220.0
2023-06-01,LVS,54.72,56.1,53.45,55.45,5730250.0
2023-06-02,LVS,57.25,59.7,56.49,58.94,7341462.0
2023-06-05,LVS,58.71,59.035,57.48,57.75,3229260.0
2023-06-06,LVS,57.43,59.3,57.3,58.89,3473677.0
2023-06-07,LVS,58.89,59.81,57.915,58.49,3058042.0
2023-06-08,LVS,56.92,58.02,56.79,57.82,3469054.0
2023-06-09,LVS,58.11,58.57,57.79,58.48,2290312.0
2023-06-12,LVS,58.71,59.08,58.21,58.95,2455564.0
2023-06-13,LVS,59.69,60.48,59.13,59.38,2748660.0
2023-06-14,LVS,59.69,60.29,59.39,59.83,2933245.0
2023-06-15,LVS,59.64,59.82,58.46,58.66,4532525.0
2023-06-16,LVS,58.87,59.22,58.2,58.45,4885257.0
2023-06-20,LVS,58.41,59.6,57.94,58.69,4807916.0
2023-06-21,LVS,58.73,59.01,57.85,58.32,3014504.0
2023-06-22,LVS,58.22,58.57,57.81,58.14,2349399.0
2023-06-23,LVS,57.26,57.5,56.25,57.28,10250380.0
2023-06-26,LVS,57.28,58.7,57.18,58.02,3760126.0
2023-06-27,LVS,58.37,58.9,57.87,58.53,3186020.0
2023-06-28,LVS,58.46,58.46,57.6,57.73,2778230.0
2023-06-29,LVS,57.82,57.97,57.215,57.38,4015094.0
2023-06-30,LVS,57.73,58.46,57.3901,58.0,6066985.0
2023-07-03,LVS,58.39,59.22,58.3,58.59,3518231.0
2023-07-05,LVS,58.09,58.09,55.17,55.3,8094192.0
2023-07-06,LVS,54.3,54.8,53.465,54.72,6601659.0
2023-07-07,LVS,54.9,55.805,54.86,55.72,3962065.0
2023-07-10,LVS,55.82,57.63,55.8,57.63,3266424.0
2023-07-11,LVS,57.59,58.57,57.47,58.48,3631389.0
2023-07-12,LVS,59.03,59.65,58.61,59.28,3805382.0
2023-07-13,LVS,59.97,61.25,59.97,60.13,3625647.0
2023-07-14,LVS,61.02,61.23,60.26,60.94,3031518.0
2023-07-17,LVS,60.26,60.52,58.98,59.4,4268704.0
2023-07-18,LVS,59.31,60.34,59.31,60.0,3897250.0
2023-07-19,LVS,60.27,60.2863,58.69,59.66,7511101.0
2023-07-20,LVS,57.21,58.7304,56.4,56.44,9916847.0
2023-07-21,LVS,56.585,58.01,55.55,55.97,5893851.0
2023-07-24,LVS,56.08,57.545,56.0,56.53,4469411.0
2023-07-25,LVS,56.6,57.5,56.34,57.35,3351616.0
2023-07-26,LVS,57.33,58.75,57.26,58.57,3764015.0
2023-07-27,LVS,59.448,59.49,58.13,58.33,4073707.0
2023-07-28,LVS,59.2,59.6,58.69,59.22,2768234.0
2023-07-31,LVS,59.22,59.89,58.52,59.81,5127131.0
2023-08-01,LVS,59.1,60.47,58.94,59.23,3082337.0
2023-08-02,LVS,58.39,58.91,57.56,58.05,2836329.0
2023-08-03,LVS,57.67,58.37,57.25,58.07,3588811.0
2023-08-04,LVS,58.56,58.68,57.69,57.94,2876668.0
2023-08-07,LVS,58.14,58.36,57.32,58.14,1971577.0
2023-08-08,LVS,57.5,57.8,56.92,57.52,2794857.0
2023-08-09,LVS,57.84,58.53,56.77,56.85,3072463.0
2023-08-10,LVS,57.46,58.4,57.3,57.4,2208489.0
2023-08-11,LVS,56.81,56.9,55.465,56.41,3943036.0
2023-08-14,LVS,55.66,56.26,55.4,55.8,3311019.0
2023-08-15,LVS,55.29,55.39,54.58,54.64,4004418.0
2023-08-16,LVS,54.28,54.75,53.59,53.63,3013318.0
2023-08-17,LVS,53.83,54.21,53.12,53.48,3824424.0
2023-08-18,LVS,52.8,53.72,52.46,53.34,3211013.0
2023-08-21,LVS,53.41,53.48,52.78,53.0,2773791.0
2023-08-22,LVS,53.42,53.67,52.7832,53.44,2623268.0
2023-08-23,LVS,53.34,54.4,53.03,53.98,2229053.0
2023-08-24,LVS,53.78,54.38,53.36,53.37,3243620.0
2023-08-25,LVS,53.48,53.54,52.39,52.62,6539480.0
2023-08-28,LVS,53.0,53.98,52.97,53.82,3979004.0
2023-08-29,LVS,53.98,54.75,53.9,54.58,2629721.0
2023-08-30,LVS,54.36,55.215,54.23,54.91,2972877.0
2023-08-31,LVS,55.09,55.73,54.845,54.86,4691929.0
2023-09-01,LVS,55.38,55.41,54.485,54.93,3595305.0
2023-09-05,LVS,54.13,54.38,52.45,52.61,5064471.0
2023-09-06,LVS,52.42,52.56,51.962,52.43,4269675.0
2023-09-07,LVS,51.72,51.99,49.35,49.78,11904322.0
2023-09-08,LVS,49.72,50.1,48.43,48.87,9344403.0
2023-09-11,LVS,49.36,49.49,48.5,48.87,5252677.0
2023-09-12,LVS,48.75,49.56,48.68,48.99,5199153.0
2023-09-13,LVS,48.74,49.27,48.625,48.85,3754241.0
2023-09-14,LVS,49.56,49.87,48.83,48.93,5311872.0
2023-09-15,LVS,48.95,49.42,48.555,48.74,5163228.0
2023-09-18,LVS,48.74,49.42,48.56,49.11,3218555.0
2023-09-19,LVS,48.81,49.21,48.14,48.63,3408476.0
2023-09-20,LVS,48.89,49.03,47.865,47.91,3661089.0
2023-09-21,LVS,46.46,46.9,45.73,45.84,9088975.0
2023-09-22,LVS,46.42,46.94,45.245,45.79,7276942.0
2023-09-25,LVS,44.81,45.54,44.38,45.34,4652320.0
2023-09-26,LVS,45.07,45.765,45.045,45.28,4030804.0
2023-09-27,LVS,45.5,46.17,44.93,46.16,5406113.0
2023-09-28,LVS,45.77,45.87,45.115,45.55,4216690.0
2023-09-29,LVS,46.5,47.25,45.735,45.84,4562980.0
2023-10-02,LVS,45.56,46.1,45.37,45.7,4593480.0
2023-10-03,LVS,45.07,45.82,44.655,44.73,4189604.0
2023-10-04,LVS,44.67,45.03,43.85,44.22,4087377.0
2023-10-05,LVS,44.17,44.58,43.77,44.1,5340891.0
2023-10-06,LVS,44.15,46.0,44.11,45.53,5111147.0
2023-10-09,LVS,46.15,46.19,44.35,45.72,4112365.0
2023-10-10,LVS,45.98,46.99,45.925,46.32,4028635.0
2023-10-11,LVS,46.36,46.78,46.11,46.52,3328744.0
2023-10-12,LVS,46.53,46.645,45.48,45.95,4045330.0
2023-10-13,LVS,45.71,45.89,44.51,44.79,3442133.0
2023-10-16,LVS,45.1,45.705,44.58,45.39,3669152.0
2023-10-17,LVS,45.07,45.865,45.06,45.32,3860023.0
2023-10-18,LVS,45.04,45.3,44.205,44.6,4884526.0
2023-10-19,LVS,46.13,46.91,45.2608,45.88,10660683.0
2023-10-20,LVS,46.06,46.4,45.29,45.32,4003848.0
2023-10-23,LVS,45.05,47.045,44.84,46.45,5844263.0
2023-10-24,LVS,46.84,47.975,46.8,47.64,5552208.0
2023-10-25,LVS,47.28,48.265,47.06,47.2,5093663.0
2023-10-26,LVS,47.25,47.86,46.84,47.53,5911882.0
2023-10-27,LVS,48.0,48.18,47.0025,47.04,4813674.0
2023-10-30,LVS,47.64,48.045,47.43,47.82,4232886.0
2023-10-31,LVS,47.49,47.8,47.1,47.46,4633663.0
2023-11-01,LVS,47.44,47.84,46.21,46.73,5027139.0
2023-11-02,LVS,47.49,48.855,47.425,48.69,4439234.0
2023-11-03,LVS,49.14,49.54,48.75,48.84,3762107.0
2023-11-06,LVS,48.88,49.7,48.66,49.19,3893529.0
2023-11-07,LVS,48.67,48.78,48.155,48.3,3452046.0
2023-11-08,LVS,48.39,48.85,48.11,48.13,2699347.0
2023-11-09,LVS,48.45,48.6,47.765,47.89,2671439.0
2023-11-10,LVS,47.02,47.82,46.4,47.75,4297275.0
2023-11-13,LVS,47.36,47.705,46.98,47.61,3095693.0
2023-11-14,LVS,48.47,49.55,48.23,49.47,4220678.0
2023-11-15,LVS,49.65,50.455,49.08,49.28,4181580.0
2023-11-16,LVS,49.14,49.65,48.93,49.12,4292545.0
2023-11-17,LVS,49.52,49.665,48.955,49.08,3427862.0
2023-11-20,LVS,49.13,49.58,48.61,49.28,3676133.0
2023-11-21,LVS,48.81,49.65,48.81,49.44,2287010.0
2023-11-22,LVS,49.71,49.958,49.135,49.28,2286063.0
2023-11-24,LVS,49.23,49.23,48.745,48.92,2280321.0
2023-11-27,LVS,48.67,48.77,48.17,48.56,4237728.0
2023-11-28,LVS,48.54,48.58,47.6,47.66,5394230.0
2023-11-29,LVS,45.97,46.52,45.015,45.34,28332512.0
2023-11-30,LVS,45.5,46.485,45.25,46.12,25960439.0
2023-12-01,LVS,46.12,46.98,46.12,46.8,10269485.0
2023-12-04,LVS,46.8,46.89,45.43,45.63,5334660.0
2023-12-05,LVS,45.26,45.46,44.68,44.87,5158939.0
2023-12-06,LVS,45.145,45.58,44.78,44.83,5479315.0
2023-12-07,LVS,44.92,45.24,44.655,44.85,4024300.0
2023-12-08,LVS,44.81,46.5,44.6,46.39,5994374.0
2023-12-11,LVS,46.4,47.655,46.39,47.61,6047287.0
2023-12-12,LVS,47.75,47.99,47.3,47.83,5661374.0
2023-12-13,LVS,47.73,48.85,47.26,48.63,6340995.0
2023-12-14,LVS,49.0,49.365,48.295,48.61,7178325.0
2023-12-15,LVS,48.68,48.86,47.62,47.87,7226732.0
2023-12-18,LVS,47.88,48.28,47.6191,47.73,3858634.0
2023-12-19,LVS,48.07,49.275,47.87,49.26,7217805.0
2023-12-20,LVS,49.11,49.21,47.53,47.55,4392277.0
2023-12-21,LVS,48.29,48.8,47.9099,48.79,3396069.0
2023-12-22,LVS,48.75,48.975,48.3019,48.92,3728666.0
2023-12-26,LVS,49.0,49.33,48.9,49.04,2915817.0
2023-12-27,LVS,49.25,49.25,47.95,48.54,3241046.0
2023-12-28,LVS,48.58,49.47,48.58,49.09,4073683.0
2023-12-29,LVS,49.0,49.405,48.97,49.21,3236690.0
2024-01-02,LVS,48.91,51.44,48.88,51.33,7502605.0
2024-01-03,LVS,50.69,51.29,50.27,50.67,5058168.0
2024-01-04,LVS,50.52,50.7685,49.98,50.25,3755296.0
2024-01-05,LVS,50.28,51.12,49.94,50.81,2946517.0
2024-01-08,LVS,50.38,51.81,50.205,51.78,3889543.0
2024-01-09,LVS,51.08,51.2725,49.87,50.01,4407185.0
2024-01-10,LVS,49.88,50.12,49.13,49.29,3414208.0
2024-01-11,LVS,49.36,49.92,48.5,49.75,4625726.0
2024-01-12,LVS,49.84,50.23,49.44,49.61,3741437.0
2024-01-16,LVS,49.0,49.2976,48.75,49.04,3708365.0
2024-01-17,LVS,48.42,48.42,47.54,48.23,5626645.0
2024-01-18,LVS,48.61,49.69,48.52,49.52,4219192.0
2024-01-19,LVS,49.41,49.43,48.425,48.85,7639527.0
2024-01-22,LVS,48.67,48.86,47.645,47.93,7206435.0
2024-01-23,LVS,48.51,49.095,48.5,49.02,5391971.0
2024-01-24,LVS,50.0,50.5951,49.62,49.64,9465434.0
2024-01-25,LVS,51.55,51.55,49.13,50.15,9263884.0
2024-01-26,LVS,50.22,50.28,49.295,50.03,4810592.0
2024-01-29,LVS,49.88,50.635,49.41,50.4,4098326.0
2024-01-30,LVS,49.86,49.953,49.355,49.51,4928937.0
2024-01-31,LVS,49.36,49.8154,48.91,48.92,3618239.0
2024-02-01,LVS,49.94,51.22,49.85,50.85,5728134.0
2024-02-02,LVS,50.39,50.79,49.85,50.48,3881979.0
2024-02-05,LVS,49.99,51.385,49.82,51.11,5924178.0
2024-02-06,LVS,51.44,52.365,51.225,52.17,5017777.0
2024-02-07,LVS,52.4,53.39,52.265,52.75,6731474.0
2024-02-08,LVS,53.5,54.3,53.3,53.61,6141068.0
2024-02-09,LVS,53.79,53.855,53.09,53.62,3364889.0
2024-02-12,LVS,53.44,54.49,53.44,54.46,4271673.0
2024-02-13,LVS,53.62,54.34,53.25,53.86,4480663.0
2024-02-14,LVS,54.05,54.79,54.0,54.48,4446275.0
2024-02-15,LVS,54.48,55.14,54.34,54.97,3753066.0
2024-02-16,LVS,54.9,55.655,54.68,55.25,4400524.0
2024-02-20,LVS,55.0,55.045,52.62,53.06,5232666.0
2024-02-21,LVS,52.93,53.71,52.6276,53.49,4060968.0
2024-02-22,LVS,54.31,54.38,53.555,53.65,2515356.0
2024-02-23,LVS,53.79,55.005,53.71,54.75,3320664.0
2024-02-26,LVS,54.75,54.91,53.82,53.93,3007175.0
2024-02-27,LVS,54.26,54.31,53.13,53.4,3463145.0
2024-02-28,LVS,52.95,53.91,52.8025,53.62,3621827.0
2024-02-29,LVS,53.74,54.79,53.43,54.52,5979632.0
2024-03-01,LVS,53.4,53.48,50.71,51.28,10350124.0
2024-03-04,LVS,51.33,51.33,50.05,50.7,4399038.0
2024-03-05,LVS,50.28,51.5,49.98,50.91,4231285.0
2024-03-06,LVS,51.44,51.49,50.44,50.58,3376985.0
2024-03-07,LVS,50.67,51.595,50.595,51.49,3426812.0
2024-03-08,LVS,51.4,51.8975,51.345,51.51,3168162.0
2024-03-11,LVS,51.63,52.915,51.51,52.61,3509498.0
2024-03-12,LVS,52.77,53.345,52.6,52.95,2965525.0
2024-03-13,LVS,52.97,53.79,52.73,53.35,3831370.0
2024-03-14,LVS,53.08,53.52,51.64,52.36,4323868.0
2024-03-15,LVS,52.14,52.66,50.885,51.03,5718331.0
2024-03-18,LVS,50.85,51.21,50.44,50.61,4174535.0
2024-03-19,LVS,50.66,51.07,50.49,50.78,3668829.0
2024-03-20,LVS,50.51,50.95,50.16,50.57,3702494.0
2024-03-21,LVS,50.76,51.4603,50.305,50.35,2892695.0
2024-03-22,LVS,50.11,50.4,49.79,50.1,2684665.0
2024-03-25,LVS,50.27,50.52,50.015,50.32,2186563.0
2024-03-26,LVS,51.15,51.415,50.665,50.85,2686400.0
2024-03-27,LVS,51.15,51.5,50.938,51.48,2288867.0
2024-03-28,LVS,51.87,52.2,51.54,51.7,4729328.0
2024-04-01,LVS,52.35,54.091,52.2,53.18,4667308.0
2024-04-02,LVS,52.96,53.0,52.22,52.91,2197537.0
2024-04-03,LVS,52.55,54.125,52.55,53.96,3187439.0
2024-04-04,LVS,54.29,54.54,52.48,52.59,3386471.0
2024-04-05,LVS,52.7,53.4,52.4,53.18,2163704.0
2024-04-08,LVS,53.59,53.65,52.26,52.44,2754206.0
2024-04-09,LVS,52.17,52.4897,51.7601,52.45,2316529.0
2024-04-10,LVS,51.93,52.23,51.56,51.86,2345523.0
2024-04-11,LVS,51.62,51.93,51.04,51.61,2586880.0
2024-04-12,LVS,51.09,51.24,50.155,50.43,2881770.0
2024-04-15,LVS,50.8,51.345,50.09,50.25,4731039.0
2024-04-16,LVS,49.77,50.765,49.51,50.51,4329638.0
2024-04-17,LVS,50.56,50.8,49.85,50.23,9055228.0
2024-04-18,LVS,48.09,48.214,45.44,45.88,21510522.0
2024-04-19,LVS,46.3,46.85,45.4,45.46,7827604.0
2024-04-22,LVS,45.98,47.32,45.98,46.56,7814805.0
2024-04-23,LVS,46.92,47.0891,45.98,46.01,7518867.0
2024-04-24,LVS,46.0,46.16,45.05,45.84,7279282.0
2024-04-25,LVS,45.5,46.21,45.485,45.55,5122933.0
2024-04-26,LVS,45.44,45.9999,45.1,45.45,4917562.0
2024-04-29,LVS,46.11,46.35,45.535,45.75,4613130.0
2024-04-30,LVS,45.26,45.52,44.33,44.36,6402535.0
2024-05-01,LVS,44.16,45.21,44.0,44.54,5533289.0
2024-05-02,LVS,45.33,46.93,45.04,46.65,8070262.0
2024-05-03,LVS,47.14,47.22,46.5601,46.87,4681334.0
2024-05-06,LVS,47.2,47.55,46.79,47.02,4112247.0
2024-05-07,LVS,46.71,47.32,46.545,46.72,4551293.0
2024-05-08,LVS,46.71,46.84,46.395,46.77,3397863.0
2024-05-09,LVS,46.77,47.32,46.73,47.2,3104575.0
2024-05-10,LVS,47.36,47.47,46.415,46.54,2173903.0
2024-05-13,LVS,47.25,47.43,46.735,46.92,2971570.0
2024-05-14,LVS,46.88,47.0,46.01,46.32,7118725.0
2024-05-15,LVS,46.4,46.51,45.57,46.11,5762406.0
2024-05-16,LVS,46.13,46.805,45.95,46.62,3772951.0
2024-05-17,LVS,46.6,47.78,46.33,47.03,8015515.0
2024-05-20,LVS,47.17,47.52,46.75,46.82,6812146.0
2024-05-21,LVS,46.55,46.91,46.15,46.21,3727833.0
2024-05-22,LVS,46.11,46.1934,45.38,45.87,3632906.0
2024-05-23,LVS,45.86,45.9,44.6,44.8,3699695.0
2024-05-24,LVS,45.01,45.19,44.77,44.88,5192454.0
2024-05-28,LVS,44.88,45.25,44.51,44.73,4188037.0
2024-05-29,LVS,44.19,44.42,43.75,43.9,4127049.0
2024-05-30,LVS,43.9,44.38,43.88,44.0,4663679.0
2024-05-31,LVS,44.35,45.05,43.77,45.03,6524879.0
2024-06-03,LVS,45.22,45.29,44.49,44.86,4159063.0
2024-06-04,LVS,44.63,44.67,43.39,43.57,6089897.0
2024-06-05,LVS,43.58,43.79,43.15,43.6,16289893.0
2024-06-06,LVS,43.68,43.88,43.41,43.66,6881797.0
2024-06-07,LVS,43.0,45.91,42.99,45.02,10275146.0
2024-06-10,LVS,44.91,45.22,44.46,44.73,5047250.0
2024-06-11,LVS,44.5,44.6,43.805,44.12,4956954.0
2024-06-12,LVS,44.28,44.47,43.748,44.24,6145538.0
2024-06-13,LVS,43.99,44.31,43.8,44.07,3787212.0
2024-06-14,LVS,43.69,43.9289,43.23,43.25,4586281.0
2024-06-17,LVS,43.17,44.46,43.11,44.35,5343106.0
2024-06-18,LVS,44.09,44.36,43.73,44.3,7238679.0
2024-06-20,LVS,44.17,45.0,44.15,44.61,7106426.0
2024-06-21,LVS,44.75,46.03,44.53,45.91,13905593.0
2024-06-24,LVS,45.75,45.84,44.48,44.84,10130136.0
2024-06-25,LVS,44.74,44.74,44.03,44.37,7845887.0
2024-06-26,LVS,44.28,44.3258,43.515,43.81,8877555.0
2024-06-27,LVS,43.88,44.32,43.53,44.14,6857702.0
2024-06-28,LVS,44.31,44.545,43.95,44.25,18023200.0
2024-07-01,LVS,44.07,44.48,42.72,42.88,6353535.0
2024-07-02,LVS,42.69,43.105,42.24,42.31,5900154.0
2024-07-03,LVS,42.54,43.1,42.43,42.55,3367383.0
2024-07-05,LVS,42.28,42.585,41.941,42.09,6720647.0
2024-07-08,LVS,42.15,42.34,41.4,41.45,4680016.0
2024-07-09,LVS,41.52,42.02,41.2,41.62,3833050.0
2024-07-10,LVS,41.64,41.7159,41.175,41.43,4038029.0
2024-07-11,LVS,41.61,42.64,41.53,42.32,4051977.0
2024-07-12,LVS,42.5,42.995,42.24,42.73,3532577.0
2024-07-15,LVS,42.6,42.99,42.115,42.25,3049403.0
2024-07-16,LVS,42.31,43.19,41.96,42.9,5597699.0
2024-07-17,LVS,42.7,43.02,42.1,42.34,4037560.0
