Date,Ticker,Open,High,Low,Close,Volume
2024-03-22,COOTW,0.109,0.15,0.049,0.0601,282303
2024-03-25,COOTW,0.07,0.07,0.05,0.05,185721
2024-03-26,COOTW,0.05,0.05,0.0355,0.0372,61114
2024-03-27,COOTW,0.049,0.0598,0.03,0.0502,78933
2024-03-28,COOTW,0.0599,0.06,0.0335,0.05,99301
2024-04-01,COOTW,0.0598,0.06,0.035,0.036,62599
2024-04-02,COOTW,0.0565,0.0565,0.036,0.0432,60313
2024-04-03,COOTW,0.06,0.06,0.0391,0.0401,26640
2024-04-04,COOTW,0.059,0.07,0.0335,0.0461,156058
2024-04-05,COOTW,0.05,0.058,0.0455,0.05,13575
2024-04-08,COOTW,0.05,0.0585,0.041,0.0415,8341
2024-04-09,COOTW,0.0421,0.0598,0.0406,0.0598,63962
2024-04-10,COOTW,0.0415,0.0587,0.0415,0.0416,3780
2024-04-11,COOTW,0.041801,0.0579,0.0417,0.0431,9031
2024-04-12,COOTW,0.0579,0.059,0.0428,0.044,12536
2024-04-15,COOTW,0.0441,0.0515,0.0441,0.0442,6117
2024-04-16,COOTW,0.0442,0.0545,0.035,0.0354,95539
2024-04-17,COOTW,0.04,0.04,0.0351,0.0356,14646
2024-04-18,COOTW,0.04,0.04,0.0385,0.0385,215355
2024-04-19,COOTW,0.0448,0.0448,0.0375,0.0375,11588
2024-04-22,COOTW,0.0375,0.04,0.0325,0.035,139511
2024-04-23,COOTW,0.035,0.0498,0.035,0.0366,19025
2024-04-24,COOTW,0.042349,0.0494,0.0352,0.0455,5850
2024-04-25,COOTW,0.04,0.0455,0.036,0.037,37586
2024-04-26,COOTW,0.0448,0.0549,0.038,0.0437,71281
2024-04-29,COOTW,0.0539,0.0649,0.0432,0.0476,61380
2024-04-30,COOTW,0.05365,0.0568,0.0475,0.0568,1480
2024-05-01,COOTW,0.049862,0.059,0.0432,0.0432,2902
2024-05-02,COOTW,0.0432,0.048601,0.0383,0.039,187791
2024-05-03,COOTW,0.04,0.0449,0.04,0.0449,445
2024-05-06,COOTW,0.053,0.0538,0.052,0.0538,31726
2024-05-07,COOTW,0.0521,0.0598,0.0521,0.0556,43065
2024-05-08,COOTW,0.055999,0.0587,0.0453,0.0453,4897
2024-05-09,COOTW,0.046,0.0549,0.046,0.0549,754
2024-05-10,COOTW,0.0472,0.0549,0.041,0.0431,50819
2024-05-13,COOTW,0.0383,0.0431,0.0383,0.0384,1175
2024-05-14,COOTW,0.0489,0.049,0.04,0.04,11700
2024-05-15,COOTW,0.040101,0.054,0.04,0.04,10986
2024-05-16,COOTW,0.0405,0.05,0.04,0.04,13750
2024-05-17,COOTW,0.04,0.05,0.035,0.0368,98900
2024-05-20,COOTW,0.0494,0.0494,0.0355,0.0401,10000
2024-05-21,COOTW,0.04405,0.0498,0.0355,0.0498,1959
2024-05-22,COOTW,0.035401,0.0497,0.035,0.04,44143
2024-05-23,COOTW,0.036,0.0455,0.031,0.0312,88953
2024-05-24,COOTW,0.039,0.049,0.031,0.031,41571
2024-05-28,COOTW,0.0311,0.0312,0.031,0.031001,69457
2024-05-29,COOTW,0.031,0.0445,0.0282,0.0389,143603
2024-05-31,COOTW,0.0292,0.043,0.023053,0.0409,17829
2024-06-03,COOTW,0.025,0.03,0.025,0.0255,10511
2024-06-04,COOTW,0.0255,0.039,0.0222,0.0222,94046
2024-06-05,COOTW,0.0388,0.0389,0.023,0.023,16231
