Date,Ticker,Open,High,Low,Close,Volume
2023-09-07,SWIN,4.55,12.74,4.1,6.08,15256993.0
2023-09-08,SWIN,5.31,6.2,4.62,4.91,3626316.0
2023-09-11,SWIN,4.09,4.2,2.98,3.28,2889959.0
2023-09-12,SWIN,2.9,3.4499,2.8311,3.17,940311.0
2023-09-13,SWIN,2.83,3.03,2.66,2.73,551449.0
2023-09-14,SWIN,2.54,2.8,2.49,2.59,424505.0
2023-09-15,SWIN,2.46,2.55,2.27,2.33,362065.0
2023-09-18,SWIN,2.2,2.29,2.06,2.08,454523.0
2023-09-19,SWIN,2.11,2.68,2.11,2.45,1754127.0
2023-09-20,SWIN,2.41,3.24,2.4,3.0,2431300.0
2023-09-21,SWIN,3.13,4.05,3.08,4.05,6267359.0
2023-09-22,SWIN,4.32,4.9,3.32,3.7,8285460.0
2023-09-25,SWIN,3.44,3.55,3.05,3.26,1070509.0
2023-09-26,SWIN,3.07,3.8,3.07,3.76,470362.0
2023-09-27,SWIN,3.85,3.9,3.11,3.27,317570.0
2023-09-28,SWIN,3.18,3.31,2.7,3.14,534406.0
2023-09-29,SWIN,3.32,3.6,3.13,3.13,509992.0
2023-10-02,SWIN,3.14,3.19,2.7,2.75,362438.0
2023-10-03,SWIN,2.77,3.2,2.69,2.76,135427.0
2023-10-04,SWIN,2.8,2.895,2.7,2.7,97487.0
2023-10-05,SWIN,2.68,2.73,2.47,2.5,197713.0
2023-10-06,SWIN,2.49,2.53,2.12,2.25,165715.0
2023-10-09,SWIN,2.26,2.29,2.1001,2.14,54044.0
2023-10-10,SWIN,2.15,2.7,2.11,2.66,268691.0
2023-10-11,SWIN,2.54,2.63,2.452,2.51,230119.0
2023-10-12,SWIN,2.24,2.43,2.2001,2.32,127352.0
2023-10-13,SWIN,2.3,2.33,2.2,2.24,52865.0
2023-10-16,SWIN,2.25,2.3,2.1,2.11,111235.0
2023-10-17,SWIN,2.11,2.38,2.1,2.35,112290.0
2023-10-18,SWIN,2.28,2.35,2.0801,2.19,77569.0
2023-10-19,SWIN,2.22,2.29,2.13,2.15,32212.0
2023-10-20,SWIN,2.12,2.35,2.0,2.25,101293.0
2023-10-23,SWIN,2.19,2.3299,2.0002,2.09,84750.0
2023-10-24,SWIN,2.18,2.24,2.0901,2.18,39039.0
2023-10-25,SWIN,2.15,2.23,2.06,2.11,29684.0
2023-10-26,SWIN,2.14,2.16,2.02,2.14,55868.0
2023-10-27,SWIN,2.08,2.15,2.08,2.11,24482.0
2023-10-30,SWIN,2.16,2.16,2.03,2.04,74021.0
2023-10-31,SWIN,2.06,2.06,1.8404,2.0,68610.0
2023-11-01,SWIN,2.01,2.11,1.95,2.07,128042.0
2023-11-02,SWIN,2.02,2.2383,2.02,2.21,74585.0
2023-11-03,SWIN,2.21,2.6365,2.21,2.49,169993.0
2023-11-06,SWIN,2.55,2.93,2.49,2.51,126173.0
2023-11-07,SWIN,2.52,2.66,2.4,2.54,87273.0
